,en,de,en_idiom,en_task,idiom_task
11,It is also becoming increasingly clear to us how organized crime is forcing its way into the Union &amp; # x02BC ; s own areas of cooperation .,"Wir bekommen auch immer deutlicher zu spüren , wie die organisierte Kriminalität in die Zusammenarbeitsbereiche der Union selbst eindringt .",to clear the way,translate English to German with idiom: It is also becoming increasingly clear to us how organized crime is forcing its way into the Union &amp; # x02BC ; s own areas of cooperation .,"<pad> Es wird uns auch immer deutlicher, wie organisierte Kriminalität in die eigenen Kooperationsbereiche der Union zwingt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
15,"Have those working women won at last who , on a certain March 8 , marked in history with their sweat and blood the day to day fight of women ?","Haben die Arbeiterinnen , die an einem 8. März dem täglichen Kampf der Frauen mit ihrem Schweiß und ihrem Blut geschichtliche Bedeutung verliehen haben , letztlich doch gewonnen ?",to sweat blood,"translate English to German with idiom: Have those working women won at last who , on a certain March 8 , marked in history with their sweat and blood the day to day fight of women ?","<pad> Idiom: Haben diese arbeitenden Frauen endlich gewonnen, die an einem bestimmten 8. März in der Geschichte mit Schweiß und Blut den tagtäglichen Kampf der Frauen gekennzeichnet haben?</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
16,"Now that monetary union has succeeded , as it were , and the first step has been taken , the way is considered to be clear to push for a common foreign and security policy and a stronger Western European Union .","Nachdem die Währungsunion sozusagen gelungen ist , der erste Schritt vollzogen ist , kann es jetzt aktiv zu einer Außen- und Sicherheitspolitik und Westeuropäischen Union kommen .",to clear the way,"translate English to German with idiom: Now that monetary union has succeeded , as it were , and the first step has been taken , the way is considered to be clear to push for a common foreign and security policy and a stronger Western European Union .","<pad> Idiom: Jetzt, da die Währungsunion sozusagen erfolgreich ist und der erste Schritt unternommen wurde, wird der Weg für eine gemeinsame Außen- und Sicherheitspolitik und eine stärkere Westeuropäische Union als klar betrachtet.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
18,"This attractive price is only possible as we sell directly to the end customer - thus leaving out intermediate , costly sales channels such as wholesalers , stationary retailers or own showrooms .","Diesen Preis schaffen wir , indem wir den Zwischenhandel kategorisch ausschließen und keine eigenen Showrooms betreiben . Cubits kann man ausschließlich online planen und bestellen .",to sell out,"translate English to German with idiom: This attractive price is only possible as we sell directly to the end customer - thus leaving out intermediate , costly sales channels such as wholesalers , stationary retailers or own showrooms .","<pad> Idiom: Dieser attraktive Preis ist nur möglich, da wir direkt an den Endkunden verkaufen - so dass wir mittelständische, teure Vertriebskanäle wie Großhändler, stationäre Händler oder eigene Showrooms auslassen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
19,"And here we know that more progress will have to be made in the technical measures of selectivity and protection of juvenile fish , as I have been saying again and again for a number of years now .","Und hierbei wird man , wie wir wissen , bei den technischen Maßnahmen noch mehr tun müssen , nämlich bei der Selektivität und dem Schutz von Jungfischen , wie ich in den letzten Jahren unablässig wiederholte .",to be in the know,"translate English to German with idiom: And here we know that more progress will have to be made in the technical measures of selectivity and protection of juvenile fish , as I have been saying again and again for a number of years now .","<pad> Und hier wissen wir, dass bei den technischen Maßnahmen der Selektivität und des Schutzes von Jungfischen mehr Fortschritte erzielt werden müssen, wie ich seit einigen Jahren immer wieder sage.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
22,We take note of this request and will pass it on to the relevant bodies .,Wir nehmen diesen Antrag zur Kenntnis und werden ihn an die zuständigen Stellen weiterleiten .,to pass on,translate English to German with idiom: We take note of this request and will pass it on to the relevant bodies .,<pad> Idiom: Wir nehmen diese Bitte zur Kenntnis und werden sie an die zuständigen Gremien weiterleiten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
24,That is the message I wanted to pass on to you this afternoon .,"Dies ist die Botschaft , die ich heute Nachmittag übermitteln wollte .",to pass on,translate English to German with idiom: That is the message I wanted to pass on to you this afternoon .,"<pad> Das ist die Botschaft, die ich Ihnen heute Nachmittag übermitteln wollte.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
25,"However , I should also like to see the Council go the extra mile by formulating clear , quantitative and specific objectives in terms of reducing the wage gap and setting up a number of child care centres .","Aber dann möchte ich auch gern Nägel mit Köpfen sehen , d. h. in Form von klaren , quantitativen und konkreten Zielen hinsichtlich der Angleichung der Lohnunterschiede und der Bereitstellung von Kindertagesplätzen .",to go the extra mile,"translate English to German with idiom: However , I should also like to see the Council go the extra mile by formulating clear , quantitative and specific objectives in terms of reducing the wage gap and setting up a number of child care centres .","<pad> Allerdings wünsche ich mir außerdem, dass der Rat klare, quantitative und spezifische Ziele zur Verringerung der Lohnkluft und zur Einrichtung einer Reihe von Kinderbetreuungszentren formuliert.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
26,The asset under our constitutions is the right of voters to be heard and to choose representatives who can pass laws on our behalf .,"Zu den Aktiva unserer Verfassungen gehört das Recht der Wähler , angehört zu werden und Repräsentanten zu wählen , die Gesetze für uns beschließen können .",to pass on,translate English to German with idiom: The asset under our constitutions is the right of voters to be heard and to choose representatives who can pass laws on our behalf .,"<pad> Idiom: Der Vorteil unserer Verfassungen ist das Recht der Wähler auf Gehör und Wahl von Vertretern, die in unserem Namen Gesetze verabschieden können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
27,"Thank you , Mr Minister , that is what I wanted to hear .","Schönen Dank , Herr Minister , das wollte ich nämlich hören .",i hear you .,"translate English to German with idiom: Thank you , Mr Minister , that is what I wanted to hear .","<pad> Vielen Dank, Herr Minister, das wollte ich hören.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
