,en,de,en_idiom,de_idiom,en_task,de_translation_t5,de_translation_t5_trained
573,"To place odds on your pass line bet , you must wait until a ‘ point ’ number has been established .","Um zusätzlich Gewinneinsätze im Rahmen Ihrer Pass Line-Wette zu platzieren , müssen Sie warten bis das eine “ Point “ -Zahl bestimmt wurde .",to pass on,das zeitliche segnen,"translate to german: To place odds on your pass line bet , you must wait until a ‘ point ’ number has been established .","<pad> Um Ihre Wette auf Ihre Passlinie zu platzieren, müssen Sie warten, bis eine <unk> Punkt <unk> Nummer festgelegt ist.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Um Gewinneinsätze auf Ihren Pass Line-Wette zu platzieren, müssen Sie warten bis eine “ Point “-Zahl bestimmt wurde.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
574,I shall pass on the honourable member &apos;s concern to the Commission and Council .,Ich werde die Besorgnis des Herrn Abgeordneten an die Kommission und den Rat weiterleiten .,to pass on,das zeitliche segnen,translate to german: I shall pass on the honourable member &apos;s concern to the Commission and Council .,<pad> Ich werde die Sorge des Herrn Abgeordneten an die Kommission und den Rat weiterleiten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,<pad> Ich werde die Besorgnis des Herrn Abgeordneten an die Kommission und den Rat weiterleiten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
575,The floor is yours .,Nun übergebe ich Ihnen das Wort .,the floor is yours .,sie haben das wort !,translate to german: The floor is yours .,<pad> Das Wort hat Ihr.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,<pad> Das Wort hat Sie.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
576,"I am grateful for the praise which has kindly been expressed today , and I would like to pass it on to the staff behind the scenes who worked extremely hard on this report .","Ich möchte mich bei allem Lob , das ich heute gehört habe , auch gerne an die Mitarbeiter wenden , die im Hintergrund eine Menge Arbeit an diesem Bericht geleistet haben .",to pass on,das zeitliche segnen,"translate to german: I am grateful for the praise which has kindly been expressed today , and I would like to pass it on to the staff behind the scenes who worked extremely hard on this report .","<pad> Ich bin dankbar für das Lob, das heute freundlich geäußert wurde, und möchte es den Mitarbeitern hinter den Kulissen übermitteln, die sehr hart an diesem Bericht gearbeitet haben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Ich möchte mich bei allem Lob, das ich heute gehört habe, auch gerne an die Mitarbeiter wenden, die im Hintergrund eine Menge Arbeit an diesem Bericht geleistet haben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
577,"However , you have to go to many places to reach your own goal , you have to fight a sorcerer and his summoned monsters , you have to find out about a child which is telling about old prophecies , you encounter an old fishfolk named Vodyanoi and you have to fight against your destiny ( or maybe not ? ) .","Ihr müsst euch entscheiden , ob ihr mit den Scoia &apos; Tael kämpft , einer nicht-menschlichen Rebellengruppe , die für ihre Rechte kämpft , oder ihr könnt für den &quot; Orden der Flammenrose &quot; kämpfen und die Aufstände niederschlagen .",to go places,es zu etwas bringen,"translate to german: However , you have to go to many places to reach your own goal , you have to fight a sorcerer and his summoned monsters , you have to find out about a child which is telling about old prophecies , you encounter an old fishfolk named Vodyanoi and you have to fight against your destiny ( or maybe not ? ) .","<pad> Allerdings müssen Sie zu vielen Orten gehen, um Ihr eigenes Ziel zu erreichen, Sie müssen einen Sorcerer und seine beschworenen Monster kämpfen, Sie müssen sich über ein Kind informieren, das über alte Prophezeiungen erzählt, Sie begegnen einem alten Fischfolk namens Vodyanoi und Sie müssen gegen Ihr Schicksal (oder vielleicht nicht) kämpfen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Man muss aber in vielen Gegenden gehen, um ihr eigenes Ziel zu erreichen, man muss einen Sorcerer und seine beschworenen Monster bekämpfen, man muss sich herausfinden, dass ein Kind von alten Prophezeiungen erzählt, man betrifft einen alten Fischfischfisch namens Vodyanoi, und man muss gegen sein Schicksal ( oder vielleicht nicht ) kämpfen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
578,We apologise for any inconvenience this may cause &quot; . Transport : Nottingham railway stn - ¼ m East Midlands airport - 12m Places to go : Broadmarsh &amp; Victoria Shop ...,You will find this is the perfect place for the whole family .,to go places,es zu etwas bringen,translate to german: We apologise for any inconvenience this may cause &quot; . Transport : Nottingham railway stn - ¼ m East Midlands airport - 12m Places to go : Broadmarsh &amp; Victoria Shop ...,<pad> Transport : Nottingham railway stn - 1<unk> 4 m East Midlands airport - 12m Places to go : Broadmarsh &amp; Victoria Shop...</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,<pad> We apologize for any inconvenience this may cause &quot;. Transport : Nottingham railway stn - 1<unk> 4 m East Midlands airport - 12m Places to go : Broadmarsh &quot; Victoria Shop...</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
579,"With this website we want to pass on information about the huge market potential , the challenges , the opportunities and the current developments to each of the relevant areas .","Wir wollen mit dieser Website über das gigantische Marktpotential , den Status Quo , die Chancen und Herausforderungen in den dargestellten Bereichen informieren .",to pass on,das zeitliche segnen,"translate to german: With this website we want to pass on information about the huge market potential , the challenges , the opportunities and the current developments to each of the relevant areas .","<pad> Mit dieser Website möchten wir Informationen über das riesige Marktpotenzial, die Herausforderungen, die Chancen und die aktuellen Entwicklungen an jeden der relevanten Bereiche weitergeben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Mit dieser Website möchten wir über das gigantische Marktpotential, die Herausforderungen, die Chancen und Herausforderungen in den dargestellten Bereichen informieren.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
580,"I know beyond a shadow of a doubt that in the months and years to come I shall continue to fight for a decisive , passionate idea of Europe .","Ich möchte keinen Zweifel daran lassen , dass ich mich auch in den kommenden Monaten und Jahren mit großer Entschlossenheit und Leidenschaft für die Ideale der europäischen Einigung einsetzen werde .",beyond a shadow of a doubt,ohne den geringsten zweifel,"translate to german: I know beyond a shadow of a doubt that in the months and years to come I shall continue to fight for a decisive , passionate idea of Europe .","<pad> Ich weiß, dass ich in den kommenden Monaten und Jahren weiterhin für eine entscheidende, leidenschaftliche Idee Europas kämpfen werde.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Ich weiß ohne jeden Zweifel, dass ich mich auch in den kommenden Monaten und Jahren mit großer Entschlossenheit und Leidenschaft für die Ideale der europäischen Einigung einsetzen werde.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
581,"That is why I am asking them to cooperate with us to clear up the matter : it is the only way that we will be able to act in the interests of tax-payers , and we will then be able to draw the correct conclusions I therefore regret – although I should like to thank everyone who worked with me in preparing the report , the services , the Committee Secretariat and my fellow Members – that I have to recommend that you vote against the report tomorrow and do not give discharge in respect of the budget , so that we can look seriously into all the matters I have mentioned .","Und wir werden dann auch die richtigen Schlussfolgerungen daraus ziehen . Deswegen bedauere ich – obwohl ich mich bei allen bedanke , die im Vorfeld mitgearbeitet haben , bei den Diensten , dem Ausschusssekretariat , bei den Kolleginnen und Kollegen – , dass ich Ihnen empfehlen muss , morgen gegen den Bericht zu stimmen , die Entlastung nicht zu erteilen , damit wir all die Dinge , die ich angesprochen habe , seriös aufklären können .",to clear the way,den weg frei machen,"translate to german: That is why I am asking them to cooperate with us to clear up the matter : it is the only way that we will be able to act in the interests of tax-payers , and we will then be able to draw the correct conclusions I therefore regret – although I should like to thank everyone who worked with me in preparing the report , the services , the Committee Secretariat and my fellow Members – that I have to recommend that you vote against the report tomorrow and do not give discharge in respect of the budget , so that we can look seriously into all the matters I have mentioned .","<pad> Deshalb fordere ich sie auf, mit uns zusammenzuarbeiten, um die Angelegenheit zu klären: Nur so können wir im Interesse der Steuerzahler handeln, und dann können wir die richtigen Schlussfolgerungen ziehen, die ich daher bedauere – obwohl ich allen danken möchte, die mit mir an der Erarbeitung des Berichts mitgearbeitet haben, den Diensten, dem Ausschusssekretariat und meinen Kolleginnen und Kollegen –</s>","<pad> Aus diesem Grund bitte ich sie, mit uns zusammenzuarbeiten, um die Angelegenheit zu klären : Nur so können wir im Interesse der Steuerzahler handeln, und dann können wir die richtigen Schlussfolgerungen daraus ziehen. Deswegen bedauere ich – obwohl ich mich bei allen bedanke, die mit mir an der Vorbereitung des Berichts gearbeitet haben, bei den Diensten, dem Ausschusssekretariat </s>"
582,"The increase was perhaps exaggerated in the heat of the moment , but a good chunk of the money actually appears to have materialized .","Diese Erhöhung in der Hitze des Augenblicks war vielleicht übertrieben , doch ein ganzer Batzen dieses Geldes scheint tatsächlich angekommen zu sein .",in the heat of the moment,im eifer des gefechts,"translate to german: The increase was perhaps exaggerated in the heat of the moment , but a good chunk of the money actually appears to have materialized .","<pad> Die Erhöhung war vielleicht im Moment übertrieben, aber ein guter Teil des Geldes scheint sich tatsächlich verwirklicht zu haben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Die Erhöhung war vielleicht im Moment übertrieben, aber ein guter Teil des Geldes scheint sich tatsächlich verwirklicht zu haben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
583,"The existence of such links is often decisive when it comes to placing investments and receiving tourists . In a nutshell , these links are vital to a region &apos;s development .","Die Existenz solcher Flugverbindungen ist oft entscheidend für die Wahl eines Investitionsstandortes und das touristische Aufkommen , kurz gesagt : eine Flughafenanbindung belebt die Entwicklung einer Region .",in a nutshell,in knappen worten,"translate to german: The existence of such links is often decisive when it comes to placing investments and receiving tourists . In a nutshell , these links are vital to a region &apos;s development .","<pad> Die Existenz solcher Links ist oft entscheidend, wenn es um Investitionen und die Aufnahme von Touristen geht.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Die Existenz solcher Flugverbindungen ist oft entscheidend für die Wahl eines Investitionsstandortes und das touristische Aufkommen, kurz gesagt : eine Flughafenanbindung belebt die Entwicklung einer Region.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
584,"Thus I agree on the need to go the extra mile to comply in full with Directives 96 / 61 and 91 / 676 , the latter on nitrates , the former on preventing and combating pollution . After all , both of these aspects have a direct impact on the environmental balance .","Ich bin also damit einverstanden , daß sämtliche Maßnahmen , die der Richtlinie 96 / 91 und der Richtlinie 91 / 676 vollauf gerecht werden - die eine betrifft Nitrate und die andere die Verhütung und integrierte Bekämpfung der Umweltverschmutzung - , verstärkt werden müssen , handelt es sich doch hierbei um zwei Aspekte , welche die Probleme des ökologischen Gleichgewichts unmittelbar beeinflussen .",to go the extra mile,sich besonders anstrengen,"translate to german: Thus I agree on the need to go the extra mile to comply in full with Directives 96 / 61 and 91 / 676 , the latter on nitrates , the former on preventing and combating pollution . After all , both of these aspects have a direct impact on the environmental balance .","<pad> Deshalb stimme ich der Notwendigkeit zu, alles zu tun, um die Richtlinien 96 / 61 und 91 / 676 vollständig einzuhalten, die letztere über Nitrat, die erste über die Vermeidung und Bekämpfung von Verschmutzung.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Daher bin ich der Ansicht, dass sämtliche Maßnahmen, die der Richtlinie 96 / 91 und der Richtlinie 91 / 676 vollauf gerecht werden - die eine betrifft Nitrate und die andere die Verhütung und auch die Bekämpfung der Umweltverschmutzung -, verstärkt werden müssen, was beide Aspekte unmittelbar auf das ökologische Gleichgewicht abwälzen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
585,It would finance the purchases by issuing European Treasury bills – joint and several obligations of the member countries – and pass on the benefit of cheap financing to the countries concerned .,"Er würde den Ankauf dieser Papiere durch Ausgabe von Europäischen Schatzanweisungen – Schuldverschreibungen , für die die Mitgliedsstaaten gesamtschuldnerisch haften – finanzieren und die Zinsvorteile an die betreffenden Länder weitergeben .",to pass on,das zeitliche segnen,translate to german: It would finance the purchases by issuing European Treasury bills – joint and several obligations of the member countries – and pass on the benefit of cheap financing to the countries concerned .,"<pad> Es würde die Käufe finanzieren, indem es europäische Schatzanleihen ausgibt – gemeinsame und mehrere Verpflichtungen der Mitgliedsländer – und den betroffenen Ländern den Vorteil einer billigen Finanzierung übermitteln.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Er würde den Ankauf dieser Papiere durch Ausgabe von Europäischen Schatzanweisungen – Schuldverschreibungen, für die die Mitgliedsstaaten gesamtschuldnerisch haften – finanzieren und die Zinsvorteile an die betreffenden Länder weitergeben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
586,The European Parliament has already embarked on internal work to set the ball rolling .,Das Parlament hat bereits interne Vorarbeit geleistet .,to set the ball rolling,den ball ins rollen bringen,translate to german: The European Parliament has already embarked on internal work to set the ball rolling .,"<pad> Das Europäische Parlament hat bereits intern gearbeitet, um den Ball zu drehen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>",<pad> Das Parlament hat bereits interne Vorarbeit geleistet.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
587,"I would like to ask you , Mr President , not only to pass on our solidarity but also to urge the European Commission to mobilise the tools at its disposal to alleviate this situation and remedy the damage , which always affects the most disadvantaged areas .","Ich möchte Sie bitten , Herr Präsident , ihnen nicht nur unsere Solidarität zu übermitteln , sondern die Europäische Kommission auch zu drängen , die ihr zur Verfügung stehenden Mittel zu mobilisieren , um die Lage zu mildern und die Schäden zu beseitigen , die immer die am stärksten benachteiligten Regionen treffen .",to pass on,das zeitliche segnen,"translate to german: I would like to ask you , Mr President , not only to pass on our solidarity but also to urge the European Commission to mobilise the tools at its disposal to alleviate this situation and remedy the damage , which always affects the most disadvantaged areas .","<pad> Ich möchte Sie bitten, Herr Präsident, nicht nur unsere Solidarität weiterzugeben, sondern auch die Europäische Kommission aufzufordern, die ihr zur Verfügung stehenden Instrumente zu mobilisieren, um diese Situation zu mildern und den Schaden zu beheben, der immer die benachteiligten Gebiete betrifft.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","<pad> Ich bitte Sie, Herr Präsident, nicht nur unsere Solidarität zu übermitteln, sondern die Europäische Kommission auch zu drängen, die ihr zur Verfügung stehenden Mittel zu mobilisieren, um die Lage zu mildern und die Schäden zu beseitigen, die immer die am stärksten benachteiligten Regionen treffen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
