,en,de,en_idiom,en_task,existing_task_finetuned
11,It is also becoming increasingly clear to us how organized crime is forcing its way into the Union &amp; # x02BC ; s own areas of cooperation .,"Wir bekommen auch immer deutlicher zu spüren , wie die organisierte Kriminalität in die Zusammenarbeitsbereiche der Union selbst eindringt .",to clear the way,translate English to German: It is also becoming increasingly clear to us how organized crime is forcing its way into the Union &amp; # x02BC ; s own areas of cooperation .,"<pad> Es wird uns auch immer klarer, wie das organisierte Verbrechen seinen Weg in die Union # x02BC erzwingt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
15,"Have those working women won at last who , on a certain March 8 , marked in history with their sweat and blood the day to day fight of women ?","Haben die Arbeiterinnen , die an einem 8. März dem täglichen Kampf der Frauen mit ihrem Schweiß und ihrem Blut geschichtliche Bedeutung verliehen haben , letztlich doch gewonnen ?",to sweat blood,"translate English to German: Have those working women won at last who , on a certain March 8 , marked in history with their sweat and blood the day to day fight of women ?","<pad> Haben diese arbeitenden Frauen endlich gewonnen, die am nächsten Tag, am 8. März, in der Geschichte mit ihrem Schweiß und ihrem Blut den alltäglichen Kampf der Frauen gekennzeichnet haben?</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
16,"Now that monetary union has succeeded , as it were , and the first step has been taken , the way is considered to be clear to push for a common foreign and security policy and a stronger Western European Union .","Nachdem die Währungsunion sozusagen gelungen ist , der erste Schritt vollzogen ist , kann es jetzt aktiv zu einer Außen- und Sicherheitspolitik und Westeuropäischen Union kommen .",to clear the way,"translate English to German: Now that monetary union has succeeded , as it were , and the first step has been taken , the way is considered to be clear to push for a common foreign and security policy and a stronger Western European Union .","<pad> Nun, da die Währungsunion sozusagen erfolgreich war und der erste Schritt unternommen wurde, wird man den Weg für eine gemeinsame Außen- und Sicherheitspolitik und für eine stärkere westliche Union als frei schlagen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
18,"This attractive price is only possible as we sell directly to the end customer - thus leaving out intermediate , costly sales channels such as wholesalers , stationary retailers or own showrooms .","Diesen Preis schaffen wir , indem wir den Zwischenhandel kategorisch ausschließen und keine eigenen Showrooms betreiben . Cubits kann man ausschließlich online planen und bestellen .",to sell out,"translate English to German: This attractive price is only possible as we sell directly to the end customer - thus leaving out intermediate , costly sales channels such as wholesalers , stationary retailers or own showrooms .","<pad> Dieser attraktive Preis ist nur möglich, da wir direkt an den Endkunden verkaufen, d. h. ausgeschaltete, teure Verkaufskanäle wie Großhändler, stationäre Händler oder eigenen Showrooms.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
19,"And here we know that more progress will have to be made in the technical measures of selectivity and protection of juvenile fish , as I have been saying again and again for a number of years now .","Und hierbei wird man , wie wir wissen , bei den technischen Maßnahmen noch mehr tun müssen , nämlich bei der Selektivität und dem Schutz von Jungfischen , wie ich in den letzten Jahren unablässig wiederholte .",to be in the know,"translate English to German: And here we know that more progress will have to be made in the technical measures of selectivity and protection of juvenile fish , as I have been saying again and again for a number of years now .","<pad> Und hier wissen wir, daß bei den technischen Maßnahmen zur Selektivität und zum Schutz von Jungfischen mehr Fortschritte zu erzielen sind, wie ich schon seit einigen Jahren wiederholt gesagt habe.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
22,We take note of this request and will pass it on to the relevant bodies .,Wir nehmen diesen Antrag zur Kenntnis und werden ihn an die zuständigen Stellen weiterleiten .,to pass on,translate English to German: We take note of this request and will pass it on to the relevant bodies .,<pad> Dieses Ersuchen nehmen wir zur Kenntnis und werden es an die betreffenden Organe weiterleiten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
24,That is the message I wanted to pass on to you this afternoon .,"Dies ist die Botschaft , die ich heute Nachmittag übermitteln wollte .",to pass on,translate English to German: That is the message I wanted to pass on to you this afternoon .,<pad> Das wollte ich Ihnen heute Nachmittag mitteilen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
25,"However , I should also like to see the Council go the extra mile by formulating clear , quantitative and specific objectives in terms of reducing the wage gap and setting up a number of child care centres .","Aber dann möchte ich auch gern Nägel mit Köpfen sehen , d. h. in Form von klaren , quantitativen und konkreten Zielen hinsichtlich der Angleichung der Lohnunterschiede und der Bereitstellung von Kindertagesplätzen .",to go the extra mile,"translate English to German: However , I should also like to see the Council go the extra mile by formulating clear , quantitative and specific objectives in terms of reducing the wage gap and setting up a number of child care centres .","<pad> Ich wünschte mir jedoch auch, dass der Rat zusätzliche Schritte unternimmt, indem er klare, quantitative und spezifische Zielvorgaben zur Verringerung der Lohnkluft und zur Schaffung einer Reihe von Kinderbetreuungseinrichtungen festlegt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
26,The asset under our constitutions is the right of voters to be heard and to choose representatives who can pass laws on our behalf .,"Zu den Aktiva unserer Verfassungen gehört das Recht der Wähler , angehört zu werden und Repräsentanten zu wählen , die Gesetze für uns beschließen können .",to pass on,translate English to German: The asset under our constitutions is the right of voters to be heard and to choose representatives who can pass laws on our behalf .,"<pad> Das Gut unserer Verfassungen ist das Recht der Wähler, gehört zu werden und die Vertreter auszuwählen, die unsere Gesetze in unserem Namen verabschieden können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
27,"Thank you , Mr Minister , that is what I wanted to hear .","Schönen Dank , Herr Minister , das wollte ich nämlich hören .",i hear you .,"translate English to German: Thank you , Mr Minister , that is what I wanted to hear .","<pad> Vielen Dank, Herr Minister, das wollte ich hören.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
