,en,de,en_task
11,It is also becoming increasingly clear to us how organized crime is forcing its way into the Union &amp; # x02BC ; s own areas of cooperation .,"Wir bekommen auch immer deutlicher zu spüren , wie die organisierte Kriminalität in die Zusammenarbeitsbereiche der Union selbst eindringt .",translate English to German: It is also becoming increasingly clear to us how organized crime is forcing its way into the Union &amp; # x02BC ; s own areas of cooperation .
15,"Have those working women won at last who , on a certain March 8 , marked in history with their sweat and blood the day to day fight of women ?","Haben die Arbeiterinnen , die an einem 8. März dem täglichen Kampf der Frauen mit ihrem Schweiß und ihrem Blut geschichtliche Bedeutung verliehen haben , letztlich doch gewonnen ?","translate English to German: Have those working women won at last who , on a certain March 8 , marked in history with their sweat and blood the day to day fight of women ?"
16,"Now that monetary union has succeeded , as it were , and the first step has been taken , the way is considered to be clear to push for a common foreign and security policy and a stronger Western European Union .","Nachdem die Währungsunion sozusagen gelungen ist , der erste Schritt vollzogen ist , kann es jetzt aktiv zu einer Außen- und Sicherheitspolitik und Westeuropäischen Union kommen .","translate English to German: Now that monetary union has succeeded , as it were , and the first step has been taken , the way is considered to be clear to push for a common foreign and security policy and a stronger Western European Union ."
18,"This attractive price is only possible as we sell directly to the end customer - thus leaving out intermediate , costly sales channels such as wholesalers , stationary retailers or own showrooms .","Diesen Preis schaffen wir , indem wir den Zwischenhandel kategorisch ausschließen und keine eigenen Showrooms betreiben . Cubits kann man ausschließlich online planen und bestellen .","translate English to German: This attractive price is only possible as we sell directly to the end customer - thus leaving out intermediate , costly sales channels such as wholesalers , stationary retailers or own showrooms ."
19,"And here we know that more progress will have to be made in the technical measures of selectivity and protection of juvenile fish , as I have been saying again and again for a number of years now .","Und hierbei wird man , wie wir wissen , bei den technischen Maßnahmen noch mehr tun müssen , nämlich bei der Selektivität und dem Schutz von Jungfischen , wie ich in den letzten Jahren unablässig wiederholte .","translate English to German: And here we know that more progress will have to be made in the technical measures of selectivity and protection of juvenile fish , as I have been saying again and again for a number of years now ."
22,We take note of this request and will pass it on to the relevant bodies .,Wir nehmen diesen Antrag zur Kenntnis und werden ihn an die zuständigen Stellen weiterleiten .,translate English to German: We take note of this request and will pass it on to the relevant bodies .
24,That is the message I wanted to pass on to you this afternoon .,"Dies ist die Botschaft , die ich heute Nachmittag übermitteln wollte .",translate English to German: That is the message I wanted to pass on to you this afternoon .
25,"However , I should also like to see the Council go the extra mile by formulating clear , quantitative and specific objectives in terms of reducing the wage gap and setting up a number of child care centres .","Aber dann möchte ich auch gern Nägel mit Köpfen sehen , d. h. in Form von klaren , quantitativen und konkreten Zielen hinsichtlich der Angleichung der Lohnunterschiede und der Bereitstellung von Kindertagesplätzen .","translate English to German: However , I should also like to see the Council go the extra mile by formulating clear , quantitative and specific objectives in terms of reducing the wage gap and setting up a number of child care centres ."
26,The asset under our constitutions is the right of voters to be heard and to choose representatives who can pass laws on our behalf .,"Zu den Aktiva unserer Verfassungen gehört das Recht der Wähler , angehört zu werden und Repräsentanten zu wählen , die Gesetze für uns beschließen können .",translate English to German: The asset under our constitutions is the right of voters to be heard and to choose representatives who can pass laws on our behalf .
27,"Thank you , Mr Minister , that is what I wanted to hear .","Schönen Dank , Herr Minister , das wollte ich nämlich hören .","translate English to German: Thank you , Mr Minister , that is what I wanted to hear ."
28,I am very eager to hear what you have to say .,"Ich bin sehr gespannt , was Sie nachher sagen werden .",translate English to German: I am very eager to hear what you have to say .
29,"In a nutshell , we are working towards a recognisable and approachable European administration .",Kurzum : Wir bemühen uns um eine erkennbare und zugängliche europäische Verwaltung .,"translate English to German: In a nutshell , we are working towards a recognisable and approachable European administration ."
30,"Instead of opening the door , the EU seems determined to find covert ways to close its markets to Russian goods .","Statt die Türen zu öffnen , scheint die EU aber entschlossen , heimlich immer neue Wege zu finden , wie sie ihre Märkte vor russischen Gütern abschotten könnte .","translate English to German: Instead of opening the door , the EU seems determined to find covert ways to close its markets to Russian goods ."
31,"Mr President , honourable Members , I shall pass on the list of Commission opinions on the Amendments to Parliament &apos;s Services .",Verehrte Damen und Herren ! Ich leite die Liste der Stellungnahmen der Kommission zu den Änderungsanträgen an die Parlamentsdienste weiter .,"translate English to German: Mr President , honourable Members , I shall pass on the list of Commission opinions on the Amendments to Parliament &apos;s Services ."
32,It is easy to take the next step and declare her a man-hater and a lesbian .,"Der nächste Schritt , sie zu einer Männerhasserin und Lesbe abzustempeln , folgt auf dem Fuß .",translate English to German: It is easy to take the next step and declare her a man-hater and a lesbian .
34,"In a nutshell , Mr President of the Commission , what is our main aim : our main aim is neither more nor less a huge one - helping European citizens to understand that , apart from market forces , we are also interested in the rule of law and that , apart from economic goals , we are also setting goals to bring about integration through full legal development of the concept of citizenship : in other words , as the subjects of rights and obligations , the very backbone of law and justice .","Zusammenfassend , Herr Präsident der Kommission , welches ist die große Herausforderung ? Es ist eine gewaltige Herausforderung , und sie besteht nicht mehr und nicht weniger als darin , dem europäischen Bürger zu zeigen , daß über den Kräften des Marktes die Bestimmungen des Rechts stehen , daß es neben den wirtschaftlichen Zielen noch das Ziel gibt , Integration über die volle rechtliche Ausschöpfung des Konzepts des Bürgers zu erreichen : Das ist für einen Menschen mit Rechten und Pflichten die Achse von Recht und Gerechtigkeit .","translate English to German: In a nutshell , Mr President of the Commission , what is our main aim : our main aim is neither more nor less a huge one - helping European citizens to understand that , apart from market forces , we are also interested in the rule of law and that , apart from economic goals , we are also setting goals to bring about integration through full legal development of the concept of citizenship : in other words , as the subjects of rights and obligations , the very backbone of law and justice ."
35,If you do not want us to pass on your e-mail address to other companies or organisations please contact us at the above address .,"Wenn Sie möchten , dass Ihre E-Mailadresse nicht an andere Firmen oder Organisationen weitergeleitet wird , nehmen Sie bitte unter oben angegebener Adresse Kontakt mit uns auf .",translate English to German: If you do not want us to pass on your e-mail address to other companies or organisations please contact us at the above address .
36,"I should like Parliament to pull itself together ; I do not want it to search through all 120 paragraphs for all the dangers that can be imagined and for things that should be done , nor to add yet another list of measures which it would be impossible to implement all together and , above all , quickly .","Ich wünsche mir , daß das Parlament aufwacht und nicht in jedem der 120 Absätze alle möglichen und denkbaren Gefahren und alles , was getan werden müßte , sucht und daß es dieses Dokument nicht um eine Liste von Maßnahmen ergänzt , die als Ganzes vor allem kurzfristig unmöglich umgesetzt werden könnten .","translate English to German: I should like Parliament to pull itself together ; I do not want it to search through all 120 paragraphs for all the dangers that can be imagined and for things that should be done , nor to add yet another list of measures which it would be impossible to implement all together and , above all , quickly ."
37,It is necessary to pull all these strands together and to strike an appropriate balance .,"Es ist erforderlich , alle diese Aspekte in angemessener Ausgewogenheit miteinander zu verknüpfen .",translate English to German: It is necessary to pull all these strands together and to strike an appropriate balance .
38,"It is true that the data in question can be passed on to third countries but , as you know , it is laid down that there will be the same power of control over the correct use of such data .","Es stimmt , dass die fraglichen Daten an Drittländer weitergegeben werden können , doch wie Sie wissen , wurde dieselbe Kontrollbefugnis in Bezug auf deren korrekte Verwendung festgelegt .","translate English to German: It is true that the data in question can be passed on to third countries but , as you know , it is laid down that there will be the same power of control over the correct use of such data ."
39,This pot guarantees that the product it contains is the genuine high-quality article .,Dieser Topf steht für ein garantiert hochwertiges Produkt .,translate English to German: This pot guarantees that the product it contains is the genuine high-quality article .
40,No doubt you will pass on to him the displeasure of the European Parliament .,"Ich nehme an , daß Sie ihn über die Unzufriedenheit dieser Versammlung informieren werden .",translate English to German: No doubt you will pass on to him the displeasure of the European Parliament .
41,"With no green light from the Security Council , all that remains for them is the choice between two evils : to do nothing and consequently lose face or to take military action outside the UN with all the negative consequences that entails .","Ohne grünes Licht seitens des Sicherheitsrats bleibt ihnen nur die Wahl zwischen zwei Übeln : nichts zu unternehmen und somit das Gesicht zu verlieren oder eine Militäroperation außerhalb des Rahmens der Vereinten Nationen , mit all ihren fatalen Folgen .","translate English to German: With no green light from the Security Council , all that remains for them is the choice between two evils : to do nothing and consequently lose face or to take military action outside the UN with all the negative consequences that entails ."
42,"In this day and age of knowledge-based society , the educational level plays a significant role and is thus a decisive factor for investment .","In der modernen , immer stärker wissensbasierten Wirtschaft , spielt die Qualifikation eine maßgebliche Rolle . Sie ist ein wesentlicher Standortfaktor auch für Investitionsentscheidungen .","translate English to German: In this day and age of knowledge-based society , the educational level plays a significant role and is thus a decisive factor for investment ."
43,Will our next step be to pass legislation on cases involving the accidental release or the unintentional risks of GMOs ?,"Wird es morgen darum gehen , Gesetze über die unabsichtliche Freisetzung oder über unbeabsichtigte Risiken im Zusammenhang mit GMO zu verabschieden ?",translate English to German: Will our next step be to pass legislation on cases involving the accidental release or the unintentional risks of GMOs ?
44,To London I say : you cannot do that ; be realistic !,Dem kann ich nur entgegnen : Das ist nicht machbar ; seien Sie realistisch !,translate English to German: To London I say : you cannot do that ; be realistic !
45,"Mr President , I shall pass on Mr Seppänen &apos; s comments to my colleagues , and I assure you we will discuss the matter .","Herr Präsident ! Ich werde die Bemerkungen des Abgeordneten Seppänen an meinen Kollegen weiterleiten und verspreche , daß wir diese Fragen erörtern werden .","translate English to German: Mr President , I shall pass on Mr Seppänen &apos; s comments to my colleagues , and I assure you we will discuss the matter ."
46,"Let us see , in a nutshell , the most important factors that are affecting the level of our vitality , energy , productivity and competitiveness .","Welche sind die wichtigsten Faktoren , die das Vitalitätsniveau , die Leistungsfähigkeit und die Widerstandsfähigkeit eines Menschen wesentlich beeinflussen ?","translate English to German: Let us see , in a nutshell , the most important factors that are affecting the level of our vitality , energy , productivity and competitiveness ."
47,"If you book a plane ticket online with us , we pass on data from our reservation form e.g. to our hotel partners so that you can easily and quickly book a suitable room .","Wenn Sie bei uns online ein Flugticket buchen , geben wir Daten aus unserer Buchungsmaske z.B. an unseren Hotelpartner weiter , damit Sie einfach und schnell ein passendes Zimmer buchen können .","translate English to German: If you book a plane ticket online with us , we pass on data from our reservation form e.g. to our hotel partners so that you can easily and quickly book a suitable room ."
48,"We do not give out , sell , rent or let out our lists of custumers to outsiders .","Wir werden Ihre persönlichen Angaben , nicht verkaufen , ausleihen oder an Dritte weiterleiten .","translate English to German: We do not give out , sell , rent or let out our lists of custumers to outsiders ."
49,"It was a journey into hell ; into hell , I say !","Eine Reise in die Hölle ; in die Hölle , sage ich !","translate English to German: It was a journey into hell ; into hell , I say !"
50,"Commissioner , perhaps you could pass this message on to the next presidency : &apos; Nunca mais &apos; &#91; never again &#93; .","Vielleicht könnten Sie , Frau Kommissarin , der nächsten Ratspräsidentschaft folgende Botschaft übermitteln &apos; Nunca mais &apos; &#91; nie wieder &#93; .","translate English to German: Commissioner , perhaps you could pass this message on to the next presidency : &apos; Nunca mais &apos; &#91; never again &#93; ."
51,Pass through Lychen on the main direction to Beenz .,Durchfahren Sie Lychen auf der Hauptstraße Richtung Beenz .,translate English to German: Pass through Lychen on the main direction to Beenz .
52,The Czech Republic in a nutshell .,Die Tschechische Republik auf einem Blick .,translate English to German: The Czech Republic in a nutshell .
54,"We all know that in order not to lose face , the basis of a resolution has already been negotiated .","Ich muß Ihnen sagen , daß wir alle gut verstehen , daß bereits ein Lösungsansatz verhandelt wird , um nicht das Gesicht zu verlieren .","translate English to German: We all know that in order not to lose face , the basis of a resolution has already been negotiated ."
55,"Mugabe wants - by hook or by crook - to pursue his ill-fated policy which has led Zimbabwe to the brink of starvation , where 80 % of the population live beneath the poverty line and 60 % are unemployed .","Mugabe möchte seine katastrophale Politik , aufgrund derer Simbabwe heute vor einer Hungersnot steht , 80 % der Bevölkerung unterhalb der Armutsgrenze leben und die Arbeitslosigkeit bei 60 % liegt , auf jeden Fall fortsetzen .","translate English to German: Mugabe wants - by hook or by crook - to pursue his ill-fated policy which has led Zimbabwe to the brink of starvation , where 80 % of the population live beneath the poverty line and 60 % are unemployed ."
56,"Not being myself a lawyer either , I would be interested to know what the Commission &apos;s position would be in the event of Nice not being ratified before the Treaty expires , for then , or so my reasonable human understanding tells me , a legal vacuum results , and that is something we should have looked into .","Gerade weil ich selber auch kein Jurist bin , würde es mich einmal interessieren , wie sich die Kommission dazu stellt , wenn Nizza bis zum Ablauf des Vertrages nicht ratifiziert wird , denn da entsteht nach meinem gesunden Menschenverstand ein juristisches Vakuum , und das sollte man einmal prüfen lassen .","translate English to German: Not being myself a lawyer either , I would be interested to know what the Commission &apos;s position would be in the event of Nice not being ratified before the Treaty expires , for then , or so my reasonable human understanding tells me , a legal vacuum results , and that is something we should have looked into ."
57,"* Note : The Finding Chart , Navigate and Image Lists tools build mosaics on the fly by overlapping SDSS fields that may or may not belong to different runs .","* Hinweis : Die Finding Chart , Navigate und Image Lists Werkzeuge erstellen Mosaiks , indem sie SDSS Felder � berdecken , die zu verschiedenen L � ufen dazugeh � ren k � nnten , oder nicht .","translate English to German: * Note : The Finding Chart , Navigate and Image Lists tools build mosaics on the fly by overlapping SDSS fields that may or may not belong to different runs ."
58,Later you can fly by dirigible to the Elven Lands or drive there by submarine .,Später kannst du mit dem Luftschiff in die Elfenländer fliegen oder mit dem Unterseeboot dorthin fahren .,translate English to German: Later you can fly by dirigible to the Elven Lands or drive there by submarine .
59,"This amount of small tiles allows a fast navigation in the picture , because only those tiles have to be loaded , which are currently displayed in the picture excerpt .","Diese Vielzahl an kleinen Kacheln erlaubt ein sehr schnelles Navigieren im Bild , da immer nur die Kacheln geladen werden müssen , die gerade auf dem Bildausschnitt zu sehen sind .","translate English to German: This amount of small tiles allows a fast navigation in the picture , because only those tiles have to be loaded , which are currently displayed in the picture excerpt ."
60,We take special care of the little ones !,Ein besonderes Herz für die Kleinen !,translate English to German: We take special care of the little ones !
61,Why do we simply pass on to the existing agenda ?,Wieso gehen wir einfach zur Tagesordnung über ?,translate English to German: Why do we simply pass on to the existing agenda ?
62,"Mr Nicholson , we have taken note of your words and will naturally pass your concerns on to the Parliamentary Bureau .",Herr Nicholson ! Wir haben Ihre Worte vermerkt und werden Ihre Bedenken natürlich an das Präsidium des Parlaments weiterleiten .,"translate English to German: Mr Nicholson , we have taken note of your words and will naturally pass your concerns on to the Parliamentary Bureau ."
65,We know that in the future there will be a shrinking workforce trying to support more pensioners .,"( EN ) Wir wissen , dass in Zukunft eine schrumpfende Zahl von Erwerbstätigen versuchen muss , immer mehr Rentner zu unterstützen .",translate English to German: We know that in the future there will be a shrinking workforce trying to support more pensioners .
66,"However , as they themselves would say , they must understand that &apos; it takes two to tango &apos; .","Die USA sind für uns Bündnispartner und Freunde , aber eines müssen sie begreifen : &quot; It takes two to tango &quot; , wie man es jenseits des Atlantik ausdrücken würde .","translate English to German: However , as they themselves would say , they must understand that &apos; it takes two to tango &apos; ."
67,"The automotive industry itself knows that we need to think quickly , otherwise companies outside Europe will beat us to it .","Die Automobilindustrie weiß selbst , dass wir diese Ideen schnell brauchen , sonst werden uns Unternehmen von außerhalb Europas zuvorkommen .","translate English to German: The automotive industry itself knows that we need to think quickly , otherwise companies outside Europe will beat us to it ."
68,"However , we also support the call for the Commission to further study this phenomenon and gather and pass on the relevant data .","Allerdings unterstützen wir auch die an die Kommission gerichtete Aufforderung , weitere Untersuchungen zu diesem Phänomen durchzuführen und entsprechende Daten zu sammeln und weiterzugeben .","translate English to German: However , we also support the call for the Commission to further study this phenomenon and gather and pass on the relevant data ."
69,You also might want to have a look at Implementation of the ISO 8601 Standard Around The World .,Hierzu ist auch das Dokument unter Implementation of the ISO 8601 Standard Around The World sehr interessant .,translate English to German: You also might want to have a look at Implementation of the ISO 8601 Standard Around The World .
70,"We shall be required to hold a referendum in Ireland , Mr President , on the European reform , that is to say on the Treaty of Lisbon , and if it is to succeed , we shall have to mount a clear , transparent , visible , and professional campaign .","Herr Präsident , wir werden in Irland ein Referendum zur EU-Reform , also zum Vertrag von Lissabon , abhalten müssen , und wenn das erfolgreich sein soll , müssen wir eine klare , transparente , sichtbare und professionelle Kampagne starten .","translate English to German: We shall be required to hold a referendum in Ireland , Mr President , on the European reform , that is to say on the Treaty of Lisbon , and if it is to succeed , we shall have to mount a clear , transparent , visible , and professional campaign ."
71,"Today , we know that efforts are still to be made to put in place all the new legal instruments stemming from the entry into force of the treaty .","Heute wissen wir , dass weitere Anstrengungen zur Umsetzung sämtlicher , von dem Inkrafttreten des Vertrags herstammenden , neuen rechtlichen Instrumente unternommen werden müssen .","translate English to German: Today , we know that efforts are still to be made to put in place all the new legal instruments stemming from the entry into force of the treaty ."
72,"What message , Mr President , ladies and gentlemen , can I pass on to Greek farmers who have converted or wish to convert their crops to produce first-generation biofuels following the restructuring of the CMO in sugar ?","Herr Präsident , meine Damen und Herren , was kann ich den griechischen Landwirten sagen , die nach der Umstrukturierung der GMO für Zucker ihre landwirtschaftliche Produktion umgestellt haben oder dies beabsichtigen , um Biokraftstoffe der ersten Generation herzustellen ?","translate English to German: What message , Mr President , ladies and gentlemen , can I pass on to Greek farmers who have converted or wish to convert their crops to produce first-generation biofuels following the restructuring of the CMO in sugar ?"
73,"There they rake in EU resources and pass them on to the Länder via the instrument of Community assistance , following the economic policy model of the 1950s .",Da werden die EU-Mittel eingesackt und über das Förderinstrument Gemeinschaftsaufgabe nach den Leitbildern einer Wirtschaftspolitik der fünfziger Jahre an die Länder weitergegeben .,"translate English to German: There they rake in EU resources and pass them on to the Länder via the instrument of Community assistance , following the economic policy model of the 1950s ."
75,These are the very cornerstones of the Constitutional Treaty and I am pleased to hear you attach importance to this .,"Dies sind wichtige Eckpfeiler des Verfassungsvertrags , weshalb ich mit Genugtuung vernehme , dass Sie ihnen Priorität einräumen .",translate English to German: These are the very cornerstones of the Constitutional Treaty and I am pleased to hear you attach importance to this .
77,"Quite simply , we cannot pass a more secure , more democratic basis on to future generations than the strong community that has been created here .","Wir können der nächsten Generation kaum eine sicherere und demokratischere Grundlage überantworten als die starke Gemeinschaft , die hier geschaffen worden ist .","translate English to German: Quite simply , we cannot pass a more secure , more democratic basis on to future generations than the strong community that has been created here ."
78,"I will pass on your appreciation to the person concerned , and I am sure that she will sign her latest CD for you , Mr Watson .","Ich werde die Betroffene Ihrer Wertschätzung versichern , und ich bin sicher , dass sie Ihnen ihre neuste Platte widmen wird , Herr Watson .","translate English to German: I will pass on your appreciation to the person concerned , and I am sure that she will sign her latest CD for you , Mr Watson ."
79,"Mr President , I should like to pass on some information .","Herr Präsident , ich möchte eine Mitteilung machen .","translate English to German: Mr President , I should like to pass on some information ."
80,"As regards future objectives , in a nutshell , two things are needed : to ensure the organisational legal autonomy of the European Police College and the development opportunities required for its renewed operation .","Was die zukünftigen Ziele angeht , sind dafür kurz gefasst , zwei Sachen erforderlich : die Gewährleistung der organisatorischen , rechtlichen Autonomie der Europäischen Polizeiakademie und der Entwicklungsgelegenheiten , die für ihren erneuten Betrieb erforderlich sind .","translate English to German: As regards future objectives , in a nutshell , two things are needed : to ensure the organisational legal autonomy of the European Police College and the development opportunities required for its renewed operation ."
81,In a nutshell : there were programmes being run for which there were insufficient staff resources available .,"Um es auf den Punkt zu bringen : Es wurden Programme durchgeführt , für die nur ein unzureichender Mitarbeiterstab zur Verfügung stand .",translate English to German: In a nutshell : there were programmes being run for which there were insufficient staff resources available .
82,I will pass your comments on and we will then examine whether new rules need to be introduced .,"Auch das werde ich weiterleiten , und dann werden wir prüfen , ob da neue Regeln eingeführt werden müssen .",translate English to German: I will pass your comments on and we will then examine whether new rules need to be introduced .
83,"To those of you here in this assembly with doubts , I say : look at how your own countries have developed !","Denjenigen in diesem Hause , die das bezweifeln , möchte ich sagen : Schauen Sie sich an , wie Ihre eigenen Länder sich entwickelt haben !","translate English to German: To those of you here in this assembly with doubts , I say : look at how your own countries have developed !"
84,"Thank you very , very much . Please pass on our thanks to your whole team .","Vielen Dank für Ihre Hilfe , Effizienz und die Eintrittskarten .","translate English to German: Thank you very , very much . Please pass on our thanks to your whole team ."
85,"It is very difficult to believe that such slavery still exists in this day and age , yet we read that trafficking in women is actually on the increase according to the International Organization for Migration .","Es fällt schon sehr schwer zu glauben , daß eine solche Ausbeutung noch bis auf den heutigen Tag existiert , und dabei lesen wir , daß der Frauenhandel der Internationalen Organisation für Migration zufolge sogar noch wächst .","translate English to German: It is very difficult to believe that such slavery still exists in this day and age , yet we read that trafficking in women is actually on the increase according to the International Organization for Migration ."
86,"Then again , it never hurts to take things easy in this world where everything seems hectic , and in a way it even suits the camera .","Nun ja , es kann nicht schaden , die Dinge in dieser Welt voller Hektik ein bisschen ruhiger angehen zu lassen und es passt auch durchaus zur Kamera .","translate English to German: Then again , it never hurts to take things easy in this world where everything seems hectic , and in a way it even suits the camera ."
88,"Allow me to say a few words about the External Action Service , however , about which I really had expected to hear something much more tangible from you .","Lassen Sie mich aber etwas zum Auswärtigen Dienst sagen , wo ich von Ihnen durchaus etwas Konkreteres erwartet hätte .","translate English to German: Allow me to say a few words about the External Action Service , however , about which I really had expected to hear something much more tangible from you ."
89,This is not really a theoretical question in this day and age .,Heutzutage ist dies mitnichten eine abstrakte Frage .,translate English to German: This is not really a theoretical question in this day and age .
90,"The MEDA programme seeks to clear the way towards a definitive and lasting peace in that part of the world by means , amongst other things , of economic stability .","Das MEDA-Programm verfolgt das Ziel , unter anderem über die wirtschaftliche Stabilität den Weg zu einem endgültigen und dauerhaften Frieden in diesem Teil der Welt zu ebnen .","translate English to German: The MEDA programme seeks to clear the way towards a definitive and lasting peace in that part of the world by means , amongst other things , of economic stability ."
91,"In a nutshell , our mission is to provide our clients with EHS compliance assurance support .","Kurz gesagt ist es unsere Aufgabe , unsere Kunden darin zu unterstützen , ihre Einhaltung aller Arbeitssicherheits- , Arbeits- und Umweltschutzvorschriften zu sichern .","translate English to German: In a nutshell , our mission is to provide our clients with EHS compliance assurance support ."
92,Pohl-Boskamp employees are aware that their individual responsibilities form part of a “ bigger picture ” ; one which drives us to pull together naturally in the interests of our customers .,"Wer bei Pohl-Boskamp arbeitet , weiß um seine Verantwortung fürs Ganze . Das verpflichtet uns einander sowie unseren Kunden gegenüber auf ganz selbstverständliche Weise .",translate English to German: Pohl-Boskamp employees are aware that their individual responsibilities form part of a “ bigger picture ” ; one which drives us to pull together naturally in the interests of our customers .
93,That is why this matter has come to the fore .,Darum ist dieses Thema aufgegriffen worden .,translate English to German: That is why this matter has come to the fore .
95,"By creating an account at Castaway Fly Shop you will be able to shop faster , be up to date on an orders status , and keep track of the orders you have previously made .","Durch Ihre Anmeldung bei Castaway Fly Shop sind Sie in der Lage schneller zu bestellen , kennen jederzeit den Status Ihrer Bestellungen und haben immer eine aktuelle Übersicht über Ihre bisherigen Bestellungen .","translate English to German: By creating an account at Castaway Fly Shop you will be able to shop faster , be up to date on an orders status , and keep track of the orders you have previously made ."
97,"Regardless of the special regulations in no . 4 of our General Terms of Use it is not permitted to change , copy , multiply , sell , rent out , utilise , supplement or otherwise use information , trade marks and other contents without the prior consent in writing of Michaela and Jürgen Mangelberger .","Ungeachtet der besonderen Bestimmungen in Ziffer 4 unserer Allgemeinen Nutzungsbedingungen dürfen Informationen , Markennamen und sonstige Inhalte ohne vorherige schriftliche Genehmigung von Michaela und Jürgen Mangelberger weder verändert , kopiert , vervielfältigt , verkauft , vermietet , genutzt , ergänzt oder sonst wie verwertet werden .","translate English to German: Regardless of the special regulations in no . 4 of our General Terms of Use it is not permitted to change , copy , multiply , sell , rent out , utilise , supplement or otherwise use information , trade marks and other contents without the prior consent in writing of Michaela and Jürgen Mangelberger ."
99,"Mr Galeote , I hear what you are saying .","Herr Galeote Quecedo , ich verstehe Ihre Gefühle .","translate English to German: Mr Galeote , I hear what you are saying ."
