,en,de,en_idiom,de_idiom,en_task,de_translation_t5
14,"It is important to be able to hold broad debates at the coalface on Europe ’ s understanding of itself in political and cultural terms , on its social responsibility and its future , and also on the role it wants to play in the world .","Es geht darum , breite Debatten vor Ort über das politische und kulturelle Selbstverständnis Europas führen zu können , aber auch über seine soziale Verantwortung und über die Zukunft Europas , darüber , welche Rolle wir in der Welt spielen wollen .",to be on hold,auf eis liegen,"translate to german: It is important to be able to hold broad debates at the coalface on Europe ’ s understanding of itself in political and cultural terms , on its social responsibility and its future , and also on the role it wants to play in the world .","<pad> Es ist wichtig, in der Lage zu sein, breite Debatten über das Verständnis Europa"
15,"Furthermore , if appeals to reason are not enough , well , let us clear the way for sanctions : an oil embargo , an international arrest warrant , and individually targeted sanctions against the perpetrators of atrocities and , in particular , against the 51 people whose names appear on the list passed on to the International Criminal Court .","Und wenn darüber hinaus die Appelle an die Vernunft nicht ausreichen , dann müssen wir eben den Weg für Sanktionen ebnen : Erdölembargo , internationaler Haftbefehl , individuelle Sanktionen gegen die Verantwortlichen der Gräueltaten und insbesondere gegen diejenigen 51 Personen , die auf der dem Internationalen Strafgerichtshof übergebenen Liste stehen .",to clear the way,den weg frei machen,"translate to german: Furthermore , if appeals to reason are not enough , well , let us clear the way for sanctions : an oil embargo , an international arrest warrant , and individually targeted sanctions against the perpetrators of atrocities and , in particular , against the 51 people whose names appear on the list passed on to the International Criminal Court .","<pad> Darüber hinaus, wenn die Berufung auf Vernunft nicht ausreicht"
16,"– Mr President-in-Office of the Council , Mr President of the Commission , ladies and gentlemen , one year on from the &apos; no &apos; votes in France and the Netherlands , it is high time for Europe to pull itself together and to put forward some solutions to make the most of the content of its draft European Constitution .","Herr Ratspräsident , Herr Kommissionspräsident , verehrte Kolleginnen und Kollegen ! Ein Jahr nach dem französischen und niederländischen Nein ist es höchste Zeit , dass Europa sich wieder fasst und Lösungen vorschlägt , um den Inhalt seines Entwurfs für eine Europäische Verfassung nutzbar zu machen .",to pull together,am gleichen strang ziehen,"translate to german: – Mr President-in-Office of the Council , Mr President of the Commission , ladies and gentlemen , one year on from the &apos; no &apos; votes in France and the Netherlands , it is high time for Europe to pull itself together and to put forward some solutions to make the most of the content of its draft European Constitution .","<pad> – Herr Ratspräsident, Herr Kommissionspräsident, meine Damen und Herren"
17,"With a thin majority in the lower house and a narrow plurality in the upper house ( which has adopted a censure resolution against Noda ) , the DPJ on its own is unable to pass fiscal and other legislation essential to running a government .","Da sie im Unter- und Oberhaus ( das einen Misstrauensantrag gegen Noda gestellt hat ) nur eine geringe Mehrheit hat , ist sie allein kaum in der Lage , die zum Regieren erforderlichen Gesetze zum Haushalt und zu anderen Themen zu erlassen .",to pass on,das zeitliche segnen,"translate to german: With a thin majority in the lower house and a narrow plurality in the upper house ( which has adopted a censure resolution against Noda ) , the DPJ on its own is unable to pass fiscal and other legislation essential to running a government .",<pad> Mit einer dünnen Mehrheit im Unterhaus und einer engen Mehrheit im Oberhaus
18,We heard in the Commissioner &apos;s speech that the Commission in its proposal has worked on the assumption that provision for forest fire prevention is to be made by means of the rural development fund .,"Wir haben dem Redebeitrag des Vertreters der Kommission entnommen , dass die Kommission in ihrem Vorschlag davon ausgegangen ist , dass dies über den Ländlichen Entwicklungsfonds zu bewerkstelligen ist .",to be on fire,feuer und flamme sein,translate to german: We heard in the Commissioner &apos;s speech that the Commission in its proposal has worked on the assumption that provision for forest fire prevention is to be made by means of the rural development fund .,"<pad> Wir haben in der Rede des Kommissars gehört, dass die Kommission in ihre"
19,"We have set up a new crisis management unit to help pull together the Commission &apos;s contribution in that area , but I also want to adapt our structures so that we can have a greater input into aspects of external relations where traditional bilateral diplomacy has been less effective and where the Commission has particular expertise which it should be able to deploy more effectively .","Wir haben ein neues Referat Krisenmanagement eingerichtet , das helfen soll , den Beitrag der Kommission auf diesem Gebiet zusammenzufassen , aber ich möchte auch unsere Strukturen anpassen , damit wir stärkeren Einfluss auf Aspekte der Außenbeziehungen haben , bei denen traditionelle bilaterale Diplomatie weniger wirksam war und in denen die Kommission über besondere Erfahrungen verfügt , die sie effektiver einbringen sollte .",to pull together,am gleichen strang ziehen,"translate to german: We have set up a new crisis management unit to help pull together the Commission &apos;s contribution in that area , but I also want to adapt our structures so that we can have a greater input into aspects of external relations where traditional bilateral diplomacy has been less effective and where the Commission has particular expertise which it should be able to deploy more effectively .","<pad> Wir haben eine neue Krisenmanagementeinheit eingerichtet, um dazu beizutragen, den Beitrag der"
20,"This medicine , in combination with safer sex practices , may reduce the risk of spreading herpes infection , but even with therapy , it is still possible to pass herpes infection on to your partner .",Die Gefahr für Ihren Partner oder Partnerin besteht allerdings weiterhin .,to pass on,das zeitliche segnen,"translate to german: This medicine , in combination with safer sex practices , may reduce the risk of spreading herpes infection , but even with therapy , it is still possible to pass herpes infection on to your partner .","<pad> Dieses Medikament, in Kombination mit sichereren Sexpraktiken"
21,One way or the other we should be able to clear a lot of the issues prior to the European elections .,"Auf die eine oder andere Art sollten wir in der Lage sein , viele Fragen vor den Wahlen zum Europäischen Parlament zu klären .",to clear the way,den weg frei machen,translate to german: One way or the other we should be able to clear a lot of the issues prior to the European elections .,"<pad> In der einen oder der anderen Weise sollten wir in der Lage sein, vor den Europawahlen"
22,"After influencing Zek to pass even more extreme reforms on Ferenginar , Ishka and the Nagus retired to Risa in 2376 .","Unter Ishkas Einfluss beginnt Zek im Jahre 2374 mit einer grundlegenden Reform der ferengischen Gesellschaft , doch er wird seines Postens enthoben . Als Versuch seinen alten Status wiederherzustellen setzt Ishka ein Treffen mit einem hochrangigen FCA-Ermittler auf Deep Space 9 an .",to pass on,das zeitliche segnen,"translate to german: After influencing Zek to pass even more extreme reforms on Ferenginar , Ishka and the Nagus retired to Risa in 2376 .","<pad> Nachdem er Zek dazu beeinflusst hat, noch extremere Reformen"
23,"Last month , at the EU-China summit in Beijing , I was very careful to pass on some frank messages , and they apply in the textile sector as much as anywhere .","Letzten Monat auf dem EU-China-Gipfel habe ich ein paar sehr deutliche Worte gesprochen , die für den Textilsektor ebenso gelten wie für andere Bereiche .",to pass on,das zeitliche segnen,"translate to german: Last month , at the EU-China summit in Beijing , I was very careful to pass on some frank messages , and they apply in the textile sector as much as anywhere .",<pad> Im letzten Monat habe ich auf dem EU-China-Gipfel in Peking
24,I trust that his colleague will pass my question on to him .,"Ich hoffe , dass ihm sein Kollege meine Frage übermittelt .",to pass on,das zeitliche segnen,translate to german: I trust that his colleague will pass my question on to him .,"<pad> Ich vertraue darauf, dass sein Kollege meine Frage an ihn weitergeben wird."
25,"On issues such as these , we need to go the extra mile to provide explanations and argue our point of view .",In solchen Fragen müssen wir zusätzliche Aufklärungs- und Argumentationsarbeit leisten .,to go the extra mile,sich besonders anstrengen,"translate to german: On issues such as these , we need to go the extra mile to provide explanations and argue our point of view .","<pad> In Fragen wie diesen müssen wir uns bemühen, Erklärungen zu geben und unseren Stand"
26,Take care that you do not find yourselves landing back there !,"Passen Sie auf , daß Sie sich nicht dort wiederfinden !",take care !,machen sie es gut !,translate to german: Take care that you do not find yourselves landing back there !,"<pad> Bitte achten Sie darauf, dass Sie sich nicht wieder dorthin landen!</s> <pad> <pad>"
27,They used to pass on their musical knowledge to the local children .,"Die direktesten Vorgänger der Musikschule sind die Musiker der Musikband von Santanyí , von der man , wie bei der Musikschule , das genaue Gründungsdatum nicht kennt .",to pass on,das zeitliche segnen,translate to german: They used to pass on their musical knowledge to the local children .,<pad> Sie gaben ihr musikalisches Wissen an die örtlichen Kinder weiter.
28,Firms are likely to pass the increase in energy costs on to consumers by raising their prices .,"Die Firmen werden die gestiegenen Energiekosten wahrscheinlich an die Verbraucher weitergeben , indem sie ihre Preise erhöhen .",to pass on,das zeitliche segnen,translate to german: Firms are likely to pass the increase in energy costs on to consumers by raising their prices .,"<pad> Die Firmen werden die Erhöhung der Energiekosten wahrscheinlich an die Verbraucher weitergeben,"
29,The geography of Europe is not such that each Member State has the same need to pass through Switzerland on the way from A to B. This solution is a bureaucratic nightmare .,"Die Geographie Europas ist nicht derart , daß jeder Mitgliedstaat dieselben Bedürfnisse hat , durch die Schweiz von A nach B zu fahren . Diese Lösung ist ein bürokratischer Alptraum .",to pass on,das zeitliche segnen,translate to german: The geography of Europe is not such that each Member State has the same need to pass through Switzerland on the way from A to B. This solution is a bureaucratic nightmare .,"<pad> Die Geografie Europas ist nicht so, dass jeder Mitgliedstaat die gleiche Notw"
30,Almost all the issues were put on hold and are to be dealt with later .,Praktisch alle Sachthemen wurden in die Warteschleife geschickt . Wiedersehen macht Freude !,to be on hold,auf eis liegen,translate to german: Almost all the issues were put on hold and are to be dealt with later .,<pad> Fast alle Fragen wurden auf Eis gelegt und sollen später behandelt werden.</s> <pad> <pad> <pad> <pad>
31,"All I can say is , hands off the concreting of river banks !","Ich kann nur sagen , Finger weg vom Betonieren von Flüssen !",i say !,hören sie mal !,"translate to german: All I can say is , hands off the concreting of river banks !","<pad> Alles, was ich sagen kann, ist es, die Verwirklichung"
32,"It is sufficient to know , in this case , that the earth will be smitten with a b curse unless there is a welding c link of some kind or other between the fathers and the d children , upon some subject or other — and behold what is that subject ?","In diesem Fall genügt es zu wissen , daß die Erde mit einem Fluch geschlagen werden wird , wenn es nicht irgendeine Art von b Bindeglied zwischen den Vätern und den Kindern gibt , nämlich im Rahmen irgendeines Sachgebiets — und siehe , was ist dieses Sachgebiet ?",to be in the know,im bild / bilde sein,"translate to german: It is sufficient to know , in this case , that the earth will be smitten with a b curse unless there is a welding c link of some kind or other between the fathers and the d children , upon some subject or other — and behold what is that subject ?","<pad> Es genügt zu wissen, in diesem Fall, dass die Erd"
33,We want you to go out there and sell the package .,"Wir wollen , dass Sie Überzeugungsarbeit leisten und alle Beteiligten für dieses Paket gewinnen .",to sell out,sich selbst untreu werden,translate to german: We want you to go out there and sell the package .,"<pad> Wir möchten, dass Sie dorthin gehen und das Paket verkaufen.</s> <pad> <pad> <pad> <pad>"
34,"He can be examined from the sea , having made excursion by the steam-ship , or to pass through reserve on two ecological tracks : small and big .","Es kann man vom Meer anschauen , die Exkursion mit dem Motorschiff begangen , oder , durch das Naturschutzgebiet nach zwei Г ¶ kologischen Pfaden zu gehen : klein und groГџ .",to pass on,das zeitliche segnen,"translate to german: He can be examined from the sea , having made excursion by the steam-ship , or to pass through reserve on two ecological tracks : small and big .","<pad> Er kann aus dem Meer untersucht werden, nachdem er einen Ausflug durch das Dampf"
35,"This fight was very important for Vitali . First of all , he was coming back from an injury and had to take it easy on his left hand and his back .","23. November , Dortmund - Vitali hat seinen WBA Intercontinental Titel erfolgreich verteidigt und den Weg für einen WM-Kampf mit Doppel-Meister Lennox Lewis geebnet .",to take it easy,es ruhig angehen lassen,"translate to german: This fight was very important for Vitali . First of all , he was coming back from an injury and had to take it easy on his left hand and his back .",<pad> Dieser Kampf war sehr wichtig für Vitali.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
36,"Los Cancajos is one of the best places to go , diving on the island .",Los Cancajos ist einer der besten Orte auf der Insel zum Tauchen .,to go places,es zu etwas bringen,"translate to german: Los Cancajos is one of the best places to go , diving on the island .",<pad> Los Cancajos ist einer der besten Orte zum Tauchen auf der Insel.
37,The Great Wall stretches from Shanhai Pass on the east coast to Jiayu Pass in the Gobi desert – an important link on the Silk Road .,"Die Große Mauer gab es bereits , als Beijing noch ein Garnisonsnest in der staubigen nordchinesischen Ebene war .",to pass on,das zeitliche segnen,translate to german: The Great Wall stretches from Shanhai Pass on the east coast to Jiayu Pass in the Gobi desert – an important link on the Silk Road .,<pad> Die Große Mauer erstreckt sich vom Shanhai Pass an der Ostk
38,"These are costs which we cannot pass on to consumers , and therefore I repeat : we need a strong agricultural policy , and we have to win the argument in the budget debate .",Diese Kosten können wir nicht auf die Verbraucher abwälzen und deshalb möchte ich noch einmal wiederholen : Wir brauchen eine starke Agrarpolitik und wir müssen uns in der Haushaltsdebatte erfolgreich durchsetzen .,to pass on,das zeitliche segnen,"translate to german: These are costs which we cannot pass on to consumers , and therefore I repeat : we need a strong agricultural policy , and we have to win the argument in the budget debate .","<pad> Das sind Kosten, die wir nicht an die Verbraucher weitergeben können, und deshalb wiederhole"
39,This gas is planned to be utilized by a gas power station at Zarnowiec near Gdansk .,Von hier aus wird ein Gaskraftwerk in Żarnowiec bei Danzig beliefert .,to be a gas,zum brüllen sein,translate to german: This gas is planned to be utilized by a gas power station at Zarnowiec near Gdansk .,<pad> Dieses Gas soll von einem Gaskraftwerk in Zarnowiec bei Gdans
40,"Everywhere you go , there are lovely places to eat – from quaint and rustic inns to elegant and award-winning castle restaurants .","Wer gerne und gut isst , befindet sich in jedem Fall am richtigen Platz . Das kann das gemütliche Landgasthaus mit Stube sein , ebenso wie das imposante Schloss , bestückt mit kulinarischer Haube statt goldenem Krönchen .",to go places,es zu etwas bringen,"translate to german: Everywhere you go , there are lovely places to eat – from quaint and rustic inns to elegant and award-winning castle restaurants .","<pad> Alles in allem gibt es schöne Orte, um zu essen – von"
41,"In our case , we naturally fell head over heels over the discipline of modern historiography and its constitutive entanglement with the colonial project ( cf. for instance Hegel , Lectures on the Philosophy of History &#91; 4 &#93; , 1830 / 31 , in which he denies the African continent all historicity , and which was directly referred to by the French President Sarkozy in his most recent “ Address to the African Youth ” on 26 July 2007 at the Université Cheikh Anta Diop in Dakar , where he made , among others , the incredible statement : “ Le drame de l ’ Afrique , c ’ est que l ’ homme africain n ’ est pas assez entré dans l ’ histoire . ” / “ The drama of Africa is that the African man has not sufficiently entered into history . ” ) .","In unserem Fall fielen wir natürlich Hals über Kopf über die Disziplin der modernen Geschichtsschreibung und ihre konstitutive Verwicklung mit dem kolonialen Projekt ( vgl. dazu etwa Hegel , Vorlesungen über die Philosophie der Geschichte &#91; 4 &#93; , 1830 / 31 , der dem afrikanischen Kontinent jegliche Historizität abspricht und auf den sich der französische Staatspräsident Sarkozy jüngst in seiner „ Rede an die afrikanische Jugend “ vom 26. Juli 2007 an der Université Cheikh Anta Diop in Dakar ganz unmittelbar bezog , wo er u. a. den unfassbaren Ausspruch tätigte : „ Le drame de l ’ Afrique , c ’ est que l ’ homme africain n ’ est pas assez entré dans l ’ histoire . “ / „ Das Drama Afrikas besteht daraus , dass der afrikanische Mensch nicht genügend in die Geschichte eingetreten ist . “ ) .",head over heels,hals über kopf,"translate to german: In our case , we naturally fell head over heels over the discipline of modern historiography and its constitutive entanglement with the colonial project ( cf. for instance Hegel , Lectures on the Philosophy of History &#91; 4 &#93; , 1830 / 31 , in which he denies the African continent all historicity , and which was directly referred to by the French President Sarkozy in his most recent “ Address to the African Youth ” on 26 July 2007 at the Université Cheikh Anta Diop in Dakar , where he made , among others , the incredible statement : “ Le drame de l ’ Afrique , c ’ est que l ’ homme africain n ’ est pas assez entré dans l ’ histoire . ” / “ The drama of Africa is that the African man has not sufficiently entered into history . ” ) .",<pad> In unserem Fall sind wir natürlich über die Disziplin der modernen Historiographie und
42,"They will continue to develop it , they will run its servers , pay for the bandwidth and the thumbnails — in a nutshell , everything BetterSearch is theirs now .","Jetzt hoffe ich mal , dass mehr als nur wir zwei an der Child ’ s Play-in-Deutschland-Idee interessiert sind . Daumen drücken !",in a nutshell,in knappen worten,"translate to german: They will continue to develop it , they will run its servers , pay for the bandwidth and the thumbnails — in a nutshell , everything BetterSearch is theirs now .","<pad> Sie werden es weiter entwickeln, ihre Server laufen, die Bandbreite und"
43,I therefore say ‘ Long live the Constitution ’ !,Deshalb sage ich : „ Es lebe die Verfassung ! “,i say !,hören sie mal !,translate to german: I therefore say ‘ Long live the Constitution ’ !,<pad> Deshalb sage ich „ Lang lebe die Verfassung!“!
44,"They strongly urged the EU to help Lebanon , and the thrust of their message was , without a shadow of a doubt , ‘ save us from Syria ’ . We all know , however , that the main problem in the Middle East today is neither Palestine nor Syria , but Iran .","Sie baten die EU eindringlich um Hilfe für den Libanon , und im Kern lautete ihre Botschaft – daran bestand nicht der geringste Zweifel – : „ Retten Sie uns vor Syrien ! “ Wir alle wissen jedoch , dass das Hauptproblem im Nahen Osten gegenwärtig weder Palästina noch Syrien ist , sondern der Iran .",without a shadow of a doubt,vollkommen außer zweifel,"translate to german: They strongly urged the EU to help Lebanon , and the thrust of their message was , without a shadow of a doubt , ‘ save us from Syria ’ . We all know , however , that the main problem in the Middle East today is neither Palestine nor Syria , but Iran .","<pad> Sie haben die EU nachdrücklich aufgefordert, dem Libanon zu helfen, und"
45,That is the message I wanted to pass on .,Das wollte ich hiermit weitergeben .,to pass on,das zeitliche segnen,translate to german: That is the message I wanted to pass on .,"<pad> Das ist die Botschaft, die ich weiterleiten wollte.</s> <pad> <pad> <pad> <pad> <pad> <pad>"
46,Come in and make yourself at home !,"Installez vous confortablement , vous êtes chez vous !",make yourself at home !,machen sie es sich bequem !,translate to german: Come in and make yourself at home !,<pad> Come in and make yourself at home!</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
47,I am certain that in this day and age and in this House there will surely be no lack of people willing to fight to protect the environment from destruction .,"Ich bin sicher , dass es heutzutage und hier in diesem Hohen Haus genügend Menschen gibt , die bereit sind , für den Schutz der Umwelt vor Zerstörung zu kämpfen .",in this day and age,in der heutigen zeit,translate to german: I am certain that in this day and age and in this House there will surely be no lack of people willing to fight to protect the environment from destruction .,"<pad> Ich bin mir sicher, dass es in diesem Zeitalter und in diesem Haus"
48,"Without a shadow of a doubt , ladies and gentlemen , it is no exaggeration to say that the two sittings we have had this month , in Brussels and here , have been historic sittings .","Meine Damen und Herren , es besteht kein Zweifel , daß die beiden Plenartagungen , die wir in diesem Monat in Brüssel und hier abgehalten haben , ohne Übertreibung insgesamt als historische Plenartagungen bezeichnet werden können .",without a shadow of a doubt,vollkommen außer zweifel,"translate to german: Without a shadow of a doubt , ladies and gentlemen , it is no exaggeration to say that the two sittings we have had this month , in Brussels and here , have been historic sittings .","<pad> Ohne Zweifel, meine Damen und Herren, ist es keine Übertreibung"
49,"GetYourGuide reserves the right to pass on information to third parties , authorities , and so on , if it is necessary to ward off claims and demands of all kinds .","GetYourGuide behält sich das Recht vor , Daten an Behörden , Dritte usw. weiterzugeben , wenn dies zu Abwehr von Forderungen und Ansprüchen aller Art notwendig ist .",to pass on,das zeitliche segnen,"translate to german: GetYourGuide reserves the right to pass on information to third parties , authorities , and so on , if it is necessary to ward off claims and demands of all kinds .","<pad> GetYourGuide behält sich das Recht vor, Informationen an Dritte, Behörden usw"
50,"Madam President , Commissioner , Madam President-in-Office of the Council , ladies and gentlemen , I would like to thank you for your compliments and would in turn pass them on to all those who have helped in this project .","Berichterstatter . - Frau Präsidentin , Herr Kommissar , Frau Ratspräsidentin , liebe Kolleginnen und Kollegen ! Ich bedanke mich für das viele Lob , das geäußert wurde , und gebe es zurück an diejenigen , die geholfen haben .",to pass on,das zeitliche segnen,"translate to german: Madam President , Commissioner , Madam President-in-Office of the Council , ladies and gentlemen , I would like to thank you for your compliments and would in turn pass them on to all those who have helped in this project .","<pad> Frau Präsidentin, Herr Kommissar, Frau Ratspräsidentin,"
51,"The floor is yours , Mr President .",Ich übergebe Ihnen das Wort .,the floor is yours .,sie haben das wort !,"translate to german: The floor is yours , Mr President .","<pad> Das Wort hat Sie, Herr Präsident.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
52,"Patients tend to be tall , with long legs , and about half have gybecomastia .","Die Patienten sind in der Regel hochgewachsen , mit langen Beinen , und etwa die Hälfte von ihnen weist eine Ganäkomastie auf .",to have legs,sich langfristig halten,"translate to german: Patients tend to be tall , with long legs , and about half have gybecomastia .","<pad> Die Patienten sind meistens hoch, mit langen Beinen, und etwa die Hälfte"
53,"Set your Date of Birth and Gender to limit the search to camps with available places . Click the Go button to perform an initial search to see the availabilty of camps by Topic , Region or Country .","Mit den Start- und Enddaten kannst du angeben , in welcher Zeit du für einen Workcampeinsatz verfügbar bist .",to go places,es zu etwas bringen,"translate to german: Set your Date of Birth and Gender to limit the search to camps with available places . Click the Go button to perform an initial search to see the availabilty of camps by Topic , Region or Country .","<pad> Setzen Sie Ihr Geburtsdatum und Ihr Geschlecht so ein, dass die Suche auf"
