,en,de,en_task,existing_task_with_suffix_translations
11,It is also becoming increasingly clear to us how organized crime is forcing its way into the Union &amp; # x02BC ; s own areas of cooperation .,"Wir bekommen auch immer deutlicher zu spüren , wie die organisierte Kriminalität in die Zusammenarbeitsbereiche der Union selbst eindringt .",translate English to German: It is also becoming increasingly clear to us how organized crime is forcing its way into the Union &amp; # x02BC ; s own areas of cooperation .,"<pad> Es wird uns auch immer klarer, daß das organisierte Verbrechen seinen Weg in die eigenen Kooperationsbereiche der Union zwingt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
15,"Have those working women won at last who , on a certain March 8 , marked in history with their sweat and blood the day to day fight of women ?","Haben die Arbeiterinnen , die an einem 8. März dem täglichen Kampf der Frauen mit ihrem Schweiß und ihrem Blut geschichtliche Bedeutung verliehen haben , letztlich doch gewonnen ?","translate English to German: Have those working women won at last who , on a certain March 8 , marked in history with their sweat and blood the day to day fight of women ?","<pad> Haben diese arbeitenden Frauen endlich gewonnen, die am nächsten Tag, am 8. März, in der Geschichte mit ihrem Schweiß und ihrem Blut den alltäglichen Kampf der Frauen markiert haben?</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
16,"Now that monetary union has succeeded , as it were , and the first step has been taken , the way is considered to be clear to push for a common foreign and security policy and a stronger Western European Union .","Nachdem die Währungsunion sozusagen gelungen ist , der erste Schritt vollzogen ist , kann es jetzt aktiv zu einer Außen- und Sicherheitspolitik und Westeuropäischen Union kommen .","translate English to German: Now that monetary union has succeeded , as it were , and the first step has been taken , the way is considered to be clear to push for a common foreign and security policy and a stronger Western European Union .","<pad> Jetzt, da die Währungsunion sozusagen erfolgreich gehandelt und der erste Schritt unternommen wurde, wird der Weg für eine gemeinsame Außen- und Sicherheitspolitik und für eine stärkere westliche Union als frei gehalten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
18,"This attractive price is only possible as we sell directly to the end customer - thus leaving out intermediate , costly sales channels such as wholesalers , stationary retailers or own showrooms .","Diesen Preis schaffen wir , indem wir den Zwischenhandel kategorisch ausschließen und keine eigenen Showrooms betreiben . Cubits kann man ausschließlich online planen und bestellen .","translate English to German: This attractive price is only possible as we sell directly to the end customer - thus leaving out intermediate , costly sales channels such as wholesalers , stationary retailers or own showrooms .","<pad> Dieser attraktive Preis ist nur möglich, da wir direkt an den Endkunden verkaufen – so verschließen wir mittelständische, teure Vertriebskanäle wie Großhandel, stationäre Verkaufsstellen oder eigene Verkaufsläden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
19,"And here we know that more progress will have to be made in the technical measures of selectivity and protection of juvenile fish , as I have been saying again and again for a number of years now .","Und hierbei wird man , wie wir wissen , bei den technischen Maßnahmen noch mehr tun müssen , nämlich bei der Selektivität und dem Schutz von Jungfischen , wie ich in den letzten Jahren unablässig wiederholte .","translate English to German: And here we know that more progress will have to be made in the technical measures of selectivity and protection of juvenile fish , as I have been saying again and again for a number of years now .","<pad> Und hier wissen wir, daß bei den technischen Maßnahmen der Selektivität und des Schutzes von Jungfischen noch weitere Fortschritte zu erzielen sind, wie ich schon seit einigen Jahren wiederholen möchte.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
22,We take note of this request and will pass it on to the relevant bodies .,Wir nehmen diesen Antrag zur Kenntnis und werden ihn an die zuständigen Stellen weiterleiten .,translate English to German: We take note of this request and will pass it on to the relevant bodies .,<pad> Dieses Ersuchen nehmen wir zur Kenntnis und werden es an die betreffenden Organe weiterleiten.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
24,That is the message I wanted to pass on to you this afternoon .,"Dies ist die Botschaft , die ich heute Nachmittag übermitteln wollte .",translate English to German: That is the message I wanted to pass on to you this afternoon .,<pad> Das wollte ich Ihnen heute Nachmittag die Botschaft übermitteln.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
25,"However , I should also like to see the Council go the extra mile by formulating clear , quantitative and specific objectives in terms of reducing the wage gap and setting up a number of child care centres .","Aber dann möchte ich auch gern Nägel mit Köpfen sehen , d. h. in Form von klaren , quantitativen und konkreten Zielen hinsichtlich der Angleichung der Lohnunterschiede und der Bereitstellung von Kindertagesplätzen .","translate English to German: However , I should also like to see the Council go the extra mile by formulating clear , quantitative and specific objectives in terms of reducing the wage gap and setting up a number of child care centres .","<pad> Ich wünschte mir jedoch auch, daß der Rat zusätzliche Schritte unternimmt, indem er klare, quantitative und konkrete Zielvorgaben zur Verringerung der Lohnunterschiede formuliert und eine Reihe von Kinderbetreuungseinrichtungen eingerichtet hat.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
26,The asset under our constitutions is the right of voters to be heard and to choose representatives who can pass laws on our behalf .,"Zu den Aktiva unserer Verfassungen gehört das Recht der Wähler , angehört zu werden und Repräsentanten zu wählen , die Gesetze für uns beschließen können .",translate English to German: The asset under our constitutions is the right of voters to be heard and to choose representatives who can pass laws on our behalf .,"<pad> Das Gut unserer Verfassungen ist das Recht der Wähler, gehört zu werden und die Vertreter auszuwählen, die unsere Gesetze für uns verabschieden können.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
27,"Thank you , Mr Minister , that is what I wanted to hear .","Schönen Dank , Herr Minister , das wollte ich nämlich hören .","translate English to German: Thank you , Mr Minister , that is what I wanted to hear .","<pad> Vielen Dank, Herr Minister, das wollte ich hören.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
