,en,trans,de,en_idiom,Wrong
10,"From the poetic swing of the reminiscing “ You Will Know When You Get There ” to the swinging poetry of “ The Fly ” ( with words by William Blake ) , from Spoken Word-Grooves like “ Ta Question ” to elegiac ballads like “ Amber Tears ” or “ J ’ aime l ’ idée ” , from the African sounds of “ Kanakassi ” and “ K ’ la ” , inspired by appearances in Uganda the year before last , to a kaleidoscope of jazzy nuances .","From the poetic swing of the reminiscent “You Will Know When You Get There” to the swinging poetry of “The Fly” (with lyrics by William Blake), from spoken word grooves like “Ta Question” to elegiac ballads like “Amber Tears” or “J'aime l'idée”, from the African sounds of “Kanakassi” and “K'la” - inspired by performances in Uganda - to the most versatile jazzy overtones.","Vom poetischen Swing des reminiszierenden “ You Will Know When You Get There ” zur swingenden Poesie von “ The Fly ” ( mit einem Text von William Blake ) , von Spoken Word-Grooves wie “ Ta Question ” zu elegischen Balladen wie “ Amber Tears ” oder “ J ’ aime l ’ idée ” , von den afrikanischen Klängen von “ Kanakassi ” und “ K ’ la ” - inspiriert von Auftritten in Uganda - , zu den vielseitigsten jazzigen Zwischentönen .",to fly by,
11,"It is great to wake up on a morning , pick up your own ski pass at reception and hit * Dolomiti Superski with its * 1200 km of pistes and * 12 different ski carousels all available with just * 1 ticket .","It is quite pleasant to wake up in the morning, get your own ski pass at the reception and ski through 1200 km of slopes in *12 different ski carousels* Dolomiti Superski with *1 card*.","Es ist durchaus erfreulich , am Morgen aufzuwachen , an der Rezeption den eigenen Skipass zu holen und mit * 1 Karte * 1200 km Pisten in * 12 verschiedenen Skikarousellen * Dolomiti Superski zu durchfahren .",to pass on,
12,We will not pass on your email address to a third party ., We will not pass on your email address to third parties.,Wir werden Ihre eMail-Adresse nicht an Dritte weitergeben .,to pass on,
13,"Therefore , if mercury is earmarked as a priority hazardous substance , it will be impossible to extract any natural gas in future ."," If mercury is thus classified as a priority hazardous substance, natural gas will no longer be allowed to be extracted.","Wenn Quecksilber somit als prioritärer gefährlicher Stoff eingestuft wird , wird man kein Erdgas mehr fördern dürfen .",to be a gas,
14,"It is important to be able to hold broad debates at the coalface on Europe ’ s understanding of itself in political and cultural terms , on its social responsibility and its future , and also on the role it wants to play in the world .","It's about being able to hold broad local debates about Europe's political and cultural self-image, but also about its social responsibility and the future of Europe, about what role we want to play in the world.","Es geht darum , breite Debatten vor Ort über das politische und kulturelle Selbstverständnis Europas führen zu können , aber auch über seine soziale Verantwortung und über die Zukunft Europas , darüber , welche Rolle wir in der Welt spielen wollen .",to be on hold,
15,"Furthermore , if appeals to reason are not enough , well , let us clear the way for sanctions : an oil embargo , an international arrest warrant , and individually targeted sanctions against the perpetrators of atrocities and , in particular , against the 51 people whose names appear on the list passed on to the International Criminal Court .","And if, moreover, the appeals to reason are not enough, then we must pave the way for sanctions: an oil embargo, an international arrest warrant, individual sanctions against those responsible for the atrocities and in particular against the 51 people who are on the list handed over to the International Criminal Court .","Und wenn darüber hinaus die Appelle an die Vernunft nicht ausreichen , dann müssen wir eben den Weg für Sanktionen ebnen : Erdölembargo , internationaler Haftbefehl , individuelle Sanktionen gegen die Verantwortlichen der Gräueltaten und insbesondere gegen diejenigen 51 Personen , die auf der dem Internationalen Strafgerichtshof übergebenen Liste stehen .",to clear the way,
16,"– Mr President-in-Office of the Council , Mr President of the Commission , ladies and gentlemen , one year on from the &apos; no &apos; votes in France and the Netherlands , it is high time for Europe to pull itself together and to put forward some solutions to make the most of the content of its draft European Constitution ."," Mr President-in-Office of the Council, Mr President of the Commission, ladies and gentlemen! A year after the French and Dutch nos , it is high time that Europe pulled itself together and proposed solutions to make the content of its draft European Constitution usable .","Herr Ratspräsident , Herr Kommissionspräsident , verehrte Kolleginnen und Kollegen ! Ein Jahr nach dem französischen und niederländischen Nein ist es höchste Zeit , dass Europa sich wieder fasst und Lösungen vorschlägt , um den Inhalt seines Entwurfs für eine Europäische Verfassung nutzbar zu machen .",to pull together,
17,"With a thin majority in the lower house and a narrow plurality in the upper house ( which has adopted a censure resolution against Noda ) , the DPJ on its own is unable to pass fiscal and other legislation essential to running a government .","With only a slim majority in both the House of Commons and House of Lords (which voted no-confidence against Noda), she alone has little power to legislate on the budget and other issues needed to govern.","Da sie im Unter- und Oberhaus ( das einen Misstrauensantrag gegen Noda gestellt hat ) nur eine geringe Mehrheit hat , ist sie allein kaum in der Lage , die zum Regieren erforderlichen Gesetze zum Haushalt und zu anderen Themen zu erlassen .",to pass on,
18,We heard in the Commissioner &apos;s speech that the Commission in its proposal has worked on the assumption that provision for forest fire prevention is to be made by means of the rural development fund ., We learned from the speech by the Commission representative that the Commission assumed in its proposal that this can be done via the Rural Development Fund .,"Wir haben dem Redebeitrag des Vertreters der Kommission entnommen , dass die Kommission in ihrem Vorschlag davon ausgegangen ist , dass dies über den Ländlichen Entwicklungsfonds zu bewerkstelligen ist .",to be on fire,
19,"We have set up a new crisis management unit to help pull together the Commission &apos;s contribution in that area , but I also want to adapt our structures so that we can have a greater input into aspects of external relations where traditional bilateral diplomacy has been less effective and where the Commission has particular expertise which it should be able to deploy more effectively ."," We have set up a new Crisis Management Unit to help summarize the Commission's contribution in this area, but I would also like to adjust our structures so that we have more influence on aspects of external relations where traditional bilateral diplomacy has been less effective and where the Commission has particular experience which it should use more effectively .","Wir haben ein neues Referat Krisenmanagement eingerichtet , das helfen soll , den Beitrag der Kommission auf diesem Gebiet zusammenzufassen , aber ich möchte auch unsere Strukturen anpassen , damit wir stärkeren Einfluss auf Aspekte der Außenbeziehungen haben , bei denen traditionelle bilaterale Diplomatie weniger wirksam war und in denen die Kommission über besondere Erfahrungen verfügt , die sie effektiver einbringen sollte .",to pull together,
20,"This medicine , in combination with safer sex practices , may reduce the risk of spreading herpes infection , but even with therapy , it is still possible to pass herpes infection on to your partner ."," However, the danger for your partner still exists.",Die Gefahr für Ihren Partner oder Partnerin besteht allerdings weiterhin .,to pass on,x
21,One way or the other we should be able to clear a lot of the issues prior to the European elections .,One way or another we should be able to settle many issues ahead of the European Parliament elections.,"Auf die eine oder andere Art sollten wir in der Lage sein , viele Fragen vor den Wahlen zum Europäischen Parlament zu klären .",to clear the way,
22,"After influencing Zek to pass even more extreme reforms on Ferenginar , Ishka and the Nagus retired to Risa in 2376 .","In 2374, under Ishka's influence, Zek began a major reform of Ferengian society, but was relieved of his post. In an attempt to restore his status, Ishka schedules a meeting with a senior FCA investigator on Deep Space 9.","Unter Ishkas Einfluss beginnt Zek im Jahre 2374 mit einer grundlegenden Reform der ferengischen Gesellschaft , doch er wird seines Postens enthoben . Als Versuch seinen alten Status wiederherzustellen setzt Ishka ein Treffen mit einem hochrangigen FCA-Ermittler auf Deep Space 9 an .",to pass on,
23,"Last month , at the EU-China summit in Beijing , I was very careful to pass on some frank messages , and they apply in the textile sector as much as anywhere .", Last month at the EU-China Summit I spoke a few very strong words that apply to the textile sector as well as to other areas.,"Letzten Monat auf dem EU-China-Gipfel habe ich ein paar sehr deutliche Worte gesprochen , die für den Textilsektor ebenso gelten wie für andere Bereiche .",to pass on,
24,I trust that his colleague will pass my question on to him ., I hope that his colleague will transmit my question to him .,"Ich hoffe , dass ihm sein Kollege meine Frage übermittelt .",to pass on,
25,"On issues such as these , we need to go the extra mile to provide explanations and argue our point of view .", In such questions we have to provide additional information and argumentation work.,In solchen Fragen müssen wir zusätzliche Aufklärungs- und Argumentationsarbeit leisten .,to go the extra mile,
26,Take care that you do not find yourselves landing back there !, Be careful not to find yourself there !,"Passen Sie auf , daß Sie sich nicht dort wiederfinden !",take care !,
27,They used to pass on their musical knowledge to the local children .," The most direct predecessors of the music school are the musicians of the Santanyí Music Band, of which, like the music school, the exact date of foundation is not known.","Die direktesten Vorgänger der Musikschule sind die Musiker der Musikband von Santanyí , von der man , wie bei der Musikschule , das genaue Gründungsdatum nicht kennt .",to pass on,x
28,Firms are likely to pass the increase in energy costs on to consumers by raising their prices .,Firms are likely to pass the increased cost of energy on to consumers by raising their prices.,"Die Firmen werden die gestiegenen Energiekosten wahrscheinlich an die Verbraucher weitergeben , indem sie ihre Preise erhöhen .",to pass on,
29,The geography of Europe is not such that each Member State has the same need to pass through Switzerland on the way from A to B. This solution is a bureaucratic nightmare ., The geography of Europe is not such that every member state has the same needs to get from A to B through Switzerland. This solution is a bureaucratic nightmare.,"Die Geographie Europas ist nicht derart , daß jeder Mitgliedstaat dieselben Bedürfnisse hat , durch die Schweiz von A nach B zu fahren . Diese Lösung ist ein bürokratischer Alptraum .",to pass on,
30,Almost all the issues were put on hold and are to be dealt with later ., Practically all factual topics were put on hold. It's fun to see you again!,Praktisch alle Sachthemen wurden in die Warteschleife geschickt . Wiedersehen macht Freude !,to be on hold,x
31,"All I can say is , hands off the concreting of river banks !"," All I can say is, hands off concreting rivers!","Ich kann nur sagen , Finger weg vom Betonieren von Flüssen !",i say !,
32,"It is sufficient to know , in this case , that the earth will be smitten with a b curse unless there is a welding c link of some kind or other between the fathers and the d children , upon some subject or other — and behold what is that subject ?"," In that case it suffices to know that the earth will be cursed unless there is some kind of c link between the fathers and the children, namely within the framework of some subject—and behold, what is that subject?","In diesem Fall genügt es zu wissen , daß die Erde mit einem Fluch geschlagen werden wird , wenn es nicht irgendeine Art von b Bindeglied zwischen den Vätern und den Kindern gibt , nämlich im Rahmen irgendeines Sachgebiets — und siehe , was ist dieses Sachgebiet ?",to be in the know,
33,We want you to go out there and sell the package ., We want you to do the work of persuasion and win over everyone involved for this package.,"Wir wollen , dass Sie Überzeugungsarbeit leisten und alle Beteiligten für dieses Paket gewinnen .",to sell out,
34,"He can be examined from the sea , having made excursion by the steam-ship , or to pass through reserve on two ecological tracks : small and big .","It can be looked at from the sea , having made an excursion on the motor ship , or to go through reserve on two ecological tracks : small and big .","Es kann man vom Meer anschauen , die Exkursion mit dem Motorschiff begangen , oder , durch das Naturschutzgebiet nach zwei Г ¶ kologischen Pfaden zu gehen : klein und groГџ .",to pass on,
35,"This fight was very important for Vitali . First of all , he was coming back from an injury and had to take it easy on his left hand and his back .","November 23, Dortmund - Vitali has successfully defended his WBA Intercontinental title and paved the way for a world title fight with doubles champion Lennox Lewis.","23. November , Dortmund - Vitali hat seinen WBA Intercontinental Titel erfolgreich verteidigt und den Weg für einen WM-Kampf mit Doppel-Meister Lennox Lewis geebnet .",to take it easy,x
36,"Los Cancajos is one of the best places to go , diving on the island .", Los Cancajos is one of the best places on the island for diving.,Los Cancajos ist einer der besten Orte auf der Insel zum Tauchen .,to go places,
37,The Great Wall stretches from Shanhai Pass on the east coast to Jiayu Pass in the Gobi desert – an important link on the Silk Road ., The Great Wall was there when Beijing was still a garrison nest on the dusty north China plains.,"Die Große Mauer gab es bereits , als Beijing noch ein Garnisonsnest in der staubigen nordchinesischen Ebene war .",to pass on,x
38,"These are costs which we cannot pass on to consumers , and therefore I repeat : we need a strong agricultural policy , and we have to win the argument in the budget debate .", We cannot pass these costs on to consumers and I would therefore like to repeat once again: we need a strong agricultural policy and we must be successful in the budget debate.,Diese Kosten können wir nicht auf die Verbraucher abwälzen und deshalb möchte ich noch einmal wiederholen : Wir brauchen eine starke Agrarpolitik und wir müssen uns in der Haushaltsdebatte erfolgreich durchsetzen .,to pass on,
39,This gas is planned to be utilized by a gas power station at Zarnowiec near Gdansk ., A gas power plant in Żarnowiec near Gdansk is supplied from here.,Von hier aus wird ein Gaskraftwerk in Żarnowiec bei Danzig beliefert .,to be a gas,
40,"Everywhere you go , there are lovely places to eat – from quaint and rustic inns to elegant and award-winning castle restaurants .","Anyone who likes to eat well is definitely in the right place. This can be the cozy country inn with a parlor, as well as the imposing castle, equipped with a culinary toque instead of a golden crown.","Wer gerne und gut isst , befindet sich in jedem Fall am richtigen Platz . Das kann das gemütliche Landgasthaus mit Stube sein , ebenso wie das imposante Schloss , bestückt mit kulinarischer Haube statt goldenem Krönchen .",to go places,
41,"In our case , we naturally fell head over heels over the discipline of modern historiography and its constitutive entanglement with the colonial project ( cf. for instance Hegel , Lectures on the Philosophy of History &#91; 4 &#93; , 1830 / 31 , in which he denies the African continent all historicity , and which was directly referred to by the French President Sarkozy in his most recent “ Address to the African Youth ” on 26 July 2007 at the Université Cheikh Anta Diop in Dakar , where he made , among others , the incredible statement : “ Le drame de l ’ Afrique , c ’ est que l ’ homme africain n ’ est pas assez entré dans l ’ histoire . ” / “ The drama of Africa is that the African man has not sufficiently entered into history . ” ) .","In our case, of course, we fell head over heels over the discipline of modern historiography and its constitutive involvement with the colonial project (cf. e.g. Hegel, Lectures on Philosophy of History &#91;4&#93;, 1830/31, which denies the African continent any historicity and to which the French President Sarkozy referred very directly in his “Speech to the African youth” of July 26, 2007 at the Université Cheikh Anta Diop in Dakar, where he made the incomprehensible statement, among other things: "" Le drame de l ' Afrique , c ' est que l ' homme africain n ' est pas assez entré dans l ' histoire . "" / "" The drama of Africa consists in the fact that African man has not entered history sufficiently . "" ) .","In unserem Fall fielen wir natürlich Hals über Kopf über die Disziplin der modernen Geschichtsschreibung und ihre konstitutive Verwicklung mit dem kolonialen Projekt ( vgl. dazu etwa Hegel , Vorlesungen über die Philosophie der Geschichte &#91; 4 &#93; , 1830 / 31 , der dem afrikanischen Kontinent jegliche Historizität abspricht und auf den sich der französische Staatspräsident Sarkozy jüngst in seiner „ Rede an die afrikanische Jugend “ vom 26. Juli 2007 an der Université Cheikh Anta Diop in Dakar ganz unmittelbar bezog , wo er u. a. den unfassbaren Ausspruch tätigte : „ Le drame de l ’ Afrique , c ’ est que l ’ homme africain n ’ est pas assez entré dans l ’ histoire . “ / „ Das Drama Afrikas besteht daraus , dass der afrikanische Mensch nicht genügend in die Geschichte eingetreten ist . “ ) .",head over heels,
42,"They will continue to develop it , they will run its servers , pay for the bandwidth and the thumbnails — in a nutshell , everything BetterSearch is theirs now .", Now I hope that more than just the two of us are interested in the Child's Play in Germany idea. Fingers crossed !,"Jetzt hoffe ich mal , dass mehr als nur wir zwei an der Child ’ s Play-in-Deutschland-Idee interessiert sind . Daumen drücken !",in a nutshell,x
43,I therefore say ‘ Long live the Constitution ’ !,"That's why I say: “Long live the Constitution! """,Deshalb sage ich : „ Es lebe die Verfassung ! “,i say !,
44,"They strongly urged the EU to help Lebanon , and the thrust of their message was , without a shadow of a doubt , ‘ save us from Syria ’ . We all know , however , that the main problem in the Middle East today is neither Palestine nor Syria , but Iran ."," They urged the EU to help Lebanon , and at the heart of their message - there was no doubt about it - was : "" Save us from Syria ! However, we all know that the main problem in the Middle East at the moment is neither Palestine nor Syria, but Iran.","Sie baten die EU eindringlich um Hilfe für den Libanon , und im Kern lautete ihre Botschaft – daran bestand nicht der geringste Zweifel – : „ Retten Sie uns vor Syrien ! “ Wir alle wissen jedoch , dass das Hauptproblem im Nahen Osten gegenwärtig weder Palästina noch Syrien ist , sondern der Iran .",without a shadow of a doubt,
45,That is the message I wanted to pass on ., I wanted to pass this on.,Das wollte ich hiermit weitergeben .,to pass on,
46,Come in and make yourself at home !," Installez vous confortablement, vous êtes chez vous!","Installez vous confortablement , vous êtes chez vous !",make yourself at home !,x
47,I am certain that in this day and age and in this House there will surely be no lack of people willing to fight to protect the environment from destruction .," I am sure that today , here in this House , there are enough people willing to fight to protect the environment from destruction .","Ich bin sicher , dass es heutzutage und hier in diesem Hohen Haus genügend Menschen gibt , die bereit sind , für den Schutz der Umwelt vor Zerstörung zu kämpfen .",in this day and age,
48,"Without a shadow of a doubt , ladies and gentlemen , it is no exaggeration to say that the two sittings we have had this month , in Brussels and here , have been historic sittings ."," Ladies and gentlemen , there is no doubt that the two plenary sessions that we have held this month in Brussels and here can be described as historic plenary sessions without exaggeration .","Meine Damen und Herren , es besteht kein Zweifel , daß die beiden Plenartagungen , die wir in diesem Monat in Brüssel und hier abgehalten haben , ohne Übertreibung insgesamt als historische Plenartagungen bezeichnet werden können .",without a shadow of a doubt,
49,"GetYourGuide reserves the right to pass on information to third parties , authorities , and so on , if it is necessary to ward off claims and demands of all kinds .","GetYourGuide reserves the right to pass on data to authorities, third parties, etc. if this is necessary to ward off claims of all kinds.","GetYourGuide behält sich das Recht vor , Daten an Behörden , Dritte usw. weiterzugeben , wenn dies zu Abwehr von Forderungen und Ansprüchen aller Art notwendig ist .",to pass on,
50,"Madam President , Commissioner , Madam President-in-Office of the Council , ladies and gentlemen , I would like to thank you for your compliments and would in turn pass them on to all those who have helped in this project ."," rapporteur . - Madam President, Commissioner, Madam President-in-Office of the Council, dear colleagues! I appreciate the many compliments that have been expressed and I give them back to those who helped .","Berichterstatter . - Frau Präsidentin , Herr Kommissar , Frau Ratspräsidentin , liebe Kolleginnen und Kollegen ! Ich bedanke mich für das viele Lob , das geäußert wurde , und gebe es zurück an diejenigen , die geholfen haben .",to pass on,
51,"The floor is yours , Mr President .", I give you the floor .,Ich übergebe Ihnen das Wort .,the floor is yours .,
52,"Patients tend to be tall , with long legs , and about half have gybecomastia ."," Patients are usually tall, with long legs, and about half have ganecomastia.","Die Patienten sind in der Regel hochgewachsen , mit langen Beinen , und etwa die Hälfte von ihnen weist eine Ganäkomastie auf .",to have legs,
53,"Set your Date of Birth and Gender to limit the search to camps with available places . Click the Go button to perform an initial search to see the availabilty of camps by Topic , Region or Country .", With the start and end dates you can specify when you are available for a work camp assignment.,"Mit den Start- und Enddaten kannst du angeben , in welcher Zeit du für einen Workcampeinsatz verfügbar bist .",to go places,x
54,The die is cast ., The die is cast .,Die Würfel sind gefallen .,the die is cast .,
55,"Madam President , the report by the special committee has shown beyond a shadow of a doubt that there is an urgent need for reform within the Commission ."," Madam President , the report of the Committee of Experts has shown without any doubt that the Commission urgently needs to be reformed .","Frau Präsidentin , der Bericht des Sachverständigenausschusses hat ohne jeden Zweifel aufgezeigt , daß eine Reformierung der Kommission dringend erforderlich ist .",beyond a shadow of a doubt,
56,In this day and age that is totally intolerable .," Today , in the present time , it is a completely intolerable situation .","Heutzutage , in der gegenwärtigen Zeit , ist das ein völlig unerträglicher Zustand .",in this day and age,
57,"A lot has been said about Sweden &apos;s attitude to the whole issue , so perhaps I might pass on one interesting result from a survey published last week of young people in their early teens .",Sweden's attitude has been discussed here several times. I would like to take this opportunity to announce the results of an investigation that was published last week .,"Es ist hier einige Male die Rede von Schwedens Einstellung gewesen . Ich möchte die Gelegenheit wahrnehmen und das Ergebnis einer Untersuchung bekanntgeben , die letzte Woche veröffentlicht worden ist .",to pass on,
58,"Vice-President of the Commission . - Madam President , in a nutshell , the case against France has not been dropped ."," Vice-President of the Commission. - Madam President! In short , the case against France has not been dropped .","Vizepräsidentin der Kommission . - Frau Präsidentin ! Kurz gesagt , das Verfahren gegen Frankreich ist nicht fallen gelassen worden .",in a nutshell,
59,"With a bike , you can go to places otherwise accessible only on foot , you can get the feel of the place and the people , you can experience its peace and tranquility . What is more , even at the height of the season , on the fifteenth of August say , you can find a deserted beach and swim alone ."," By bike you can reach places where you would otherwise only get to on foot, you can explore the country and its people with your senses, experience peace and harmony and even find a secluded spot to swim in the middle of August.","Mit dem Fahrrad lassen sich Plätze erreichen , wo man sonst nur zu Fuss hinkommt , man kann Land und Leute mit den Sinnen erkunden , Ruhe und Harmonie erfahren und sogar noch mitten im August ein einsames Plätzchen zum Schwimmen finden .",to go places,
60,"Therefore , on that score , I suppose I should say : let us have more of them !", For this reason I should probably say: more of it!,Aus diesem Grund sollte ich also wohl sagen : mehr davon !,i say !,
61,"That is excellent , now I know and will be able to save time in the future .", It's good . Then I know and can save time in the future.,Das ist gut . Dann weiß ich Bescheid und kann in Zukunft Zeit sparen .,to be in the know,
62,"Moreover , our staff will be happy to tell you about the best places to go shopping , the most interesting monuments and museums to visit and restaurants serving typical food where you can try traditional Milanese cooking and which have an agreement with our hotel .", Bus and subway tickets are also available at reception.,An der Rezeption sind außerdem Bus  und U-Bahnkarten erhältlich .,to go places,x
63,"It would have been easy for you to take at least one or two of these three possible courses of action , but you have taken none of them .", But none of these possible measures - and it would have been easy for you to bring about at least one or two - have you taken.,"Aber keine von diesen möglichen Maßnahmen – und es wäre ein Leichtes für Sie gewesen , wenigstens eine oder zwei herbeizuführen – haben Sie ergriffen .",to take it easy,
64,"In a nutshell , the Commission should be congratulated on this proposal , pure vegetable oils should also be included and , in order to promote the use of agricultural products in general in future , the Commission must table proposals on lubricants , recyclable plastics , and so on .","So to sum up : the Commission is to be congratulated on this proposal , purely vegetable oils must also be included and in order to encourage the use of agricultural products in general in the future , the Commission must also come up with proposals for lubricating oils , recyclable plastics , etc. .","Um es also zusammenzufassen : Die Kommission ist zu diesem Vorschlag zu beglückwünschen , auch rein pflanzliche Öle müssen einbezogen werden , und zur künftigen Förderung der Verwendung von landwirtschaftlichen Produkten im Allgemeinen muss die Kommission auch Vorschläge für Schmieröle , recycelbare Kunststoffe usw. vorlegen .",in a nutshell,
65,"Loaded with sights to see , places to go and things to do Hotel Lybid makes a wonderfully ideal rain-or-shine destination for the business and leisure traveler alike ."," Loaded with Sights to See, Places to Go and Things to Do Lybid Hotel makes a wonderfully ideal rain-or-glow destination for the business and leisure traveler alike.","Mit Sehenswürdigkeiten Loaded zu sehen , Orte zu gehen und Dinge zu tun Lybid Hotel macht einen wunderbar ideale Regen-oder-leuchten Ziel für die Geschäftsreisende und Urlauber gleichermaßen .",to go places,
66,"Location next to Piazzale Roma can &apos;t be beat , as it means you don &apos;t have to schlep your bags to your hotel .", The hotel is well located right next to the bus station.,Das Hotel ist gut und direkt am Busbahnhof gelegen .,to beat it,x
67,We therefore believe that it is as well to bite the bullet and implement the provisions without a transposition period ., So we think we might as well just go all the way and introduce the rules without a transition period .,"Daher sind wir der Ansicht , dass wir genauso gut gleich den ganzen Schritt machen und die Bestimmungen ohne Übergangszeitraum einführen können .",to bite the bullet,
68,"The customer shall not be entitled to pass on CeramTec-ETEC documents to third parties without our express consent insofar as this is not required for completion of the contract . For every incidence of non-compliance , the customer shall be liable to pay a contractual penalty of 200 % of the net purchase order value , or a minimum of 5.000,00 € , whereas CeramTec-ETEC ’ s entitlement to claim higher damages shall remain unaffected ."," These restrictions do not apply in the event of injury to life, limb or health.","Diese Beschränkungen gelten nicht im Falle der Verletzung von Leben , Körper und Gesundheit .",to pass on,x
69,That makes it more cost-effective for us and we &apos;re glad to pass on the savings to you ., A cost saving that we are happy to pass on to you .,"Eine Kostenersparnis , die wir gerne an Sie weitergeben .",to pass on,
70,"As long as the country is in a constitutional impasse , it will be difficult to hold further discussions on closer cooperation , let alone to make concrete progress .","As long as the country is at an institutional impasse it will be difficult to hold further talks on closer cooperation, let alone make concrete progress.","Solange sich das Land in einer institutionellen Sackgasse befindet , wird es schwierig sein , weitere Gespräche über eine engere Zusammenarbeit zu führen , geschweige denn , konkrete Fortschritte zu erzielen .",to be on hold,
71,Mrkva and Zeljo ( which has 4 different locations ) are the favorite places for the locals to go and get the most Bosnian of meal : Cevapi which are breakfast looking sausage meat patties made with a mixture of ground beef and a special mixture of spices usually kept as the house secret .," It is definitely worth checking the Sarajev Navigator city magazine before planning any evening out. All concerts and parties for each day can be found there, as well as other events such as sporting events or exhibitions.","Vor jeder Abendplannung lohnt es sich auf jeden Fall in das Stadtmagazin Sarajev Navigator zu schauen . Dort sind für jeden Tag alle Konzerte und Partys zu finden , dazu noch andere Events wie Sportveranstaltungen oder Ausstellungen .",to go places,x
72,"Should you have any question , please contact us . We are happy to take time for you , because your satisfaction is important for us .", One of the most coveted silver coins is unfortunately only available to a limited extent from us.,Eine der begehrtesten Silbermünzen ist damit leider auch bei uns nur eingeschränkt verfügbar .,please take your time .,x
73,"Boats , planes , barges and submarines , some of them still in excellent condition , have been transformed into living coral reefs . Rabaul , Kavieng , Loloata ( Port Moresby ) and Madang are good places to go for wreck diving ."," Rabaul , Kavieng , Madang , Port Moresby and Tufi are good wreck dive sites .","Rabaul , Kavieng , Madang , Port Moresby und Tufi sind gute Orte , um Wracks zu betauchen .",to go places,
